name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Air Elemental,{3}{U}{U},5,U,Doug Chaffee,1,Creature — Elemental,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,PO2,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,DD2,M10,DPA,ME4,DD3_JVC","As insubstantial, and as powerful, as the wind that carries it.",normal,26654,4,4,Uncommon,Elemental,Creature
Blizzard Elemental,{5}{U}{U},7,U,Thomas M. Baxa,2,Creature — Elemental,Flying\n{3}{U}: Untap Blizzard Elemental.,"UDS,BTD",Students who had seen Rayne argue with Urza were certain she had summoned it to make him seem warmer by comparison.,normal,26653,5,5,Rare,Elemental,Creature
Brainstorm,{U},1,U,Christopher Rush,3,Instant,"Draw three cards, then put two cards from your hand on top of your library in any order.","ICE,5ED,MMQ,pFNM,BTD,CST,ME2,CMD,DDJ,CNS,VMA,C15,EMA","""I reeled from the blow, and then suddenly, I knew exactly what to do. Within moments victory was mine.""\n—Gustha Ebbasdotter\nKjeldoran royal mage",normal,27246,,,Common,,Instant
Cloud Djinn,{5}{U},6,U,Mike Dringenberg,4,Creature — Djinn,Flying\nCloud Djinn can block only creatures with flying.,"WTH,BTD,VMA",As elusive as the footprint of a djinn\n—Suq'Ata expression,normal,26625,5,4,Uncommon,Djinn,Creature
Cloud Elemental,{2}{U},3,U,Adam Rex,5,Creature — Elemental,Flying\nCloud Elemental can block only creatures with flying.,"VIS,BTD,10E,M11,MM2","""You know you've angered the gods when the clouds turn against you.""\n—Sisay, Captain of the Weatherlight",normal,27247,2,3,Common,Elemental,Creature
Counterspell,{U}{U},2,U,L. A. Williams,6,Instant,Counter target spell.,"LEA,LEB,2ED,CED,CEI,3ED,pLGM,4ED,ICE,5ED,TMP,pJGP,6ED,S99,MMQ,BRB,pFNM,S00,BTD,7ED,ME2,DD2,ME4,VMA,DD3_JVC,TPR,EMA",,normal,26644,,,Common,,Instant
Fog Elemental,{2}{U},3,U,Jon J Muth,7,Creature — Elemental,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Fog Elemental attacks or blocks, sacrifice it at end of combat.","WTH,6ED,BTD,10E","""I've seen fog so thick you could cut it, but none that could cut me.""\n—Tahngarth of the Weatherlight",normal,26657,4,4,Common,Elemental,Creature
Gaseous Form,{2}{U},3,U,Roger Raupp,8,Enchantment — Aura,Enchant creature\nPrevent all combat damage that would be dealt to and dealt by enchanted creature.,"LEG,4ED,5ED,TMP,6ED,BTD,TPR,EMA","""It's hard to hurt anyone when you're as transparent as your motives.""\n—Ertai, wizard adept",normal,26641,,,Common,Aura,Enchantment
Giant Crab,{4}{U},5,U,Tom Kyffin,9,Creature — Crab,{U}: Giant Crab gains shroud until end of turn. (It can't be the target of spells or abilities.),"TMP,BTD","During the giant crabs' mating season, Skyshroud nights are filled with the clatter of their skirmishes.",normal,26627,3,3,Common,Crab,Creature
Impulse,{1}{U},2,U,Bryan Talbot,10,Instant,Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,"VIS,pFNM,BTD,V13,DDN","""Controlling time ensures you need never look impulsive again.""\n—Teferi",normal,26616,,,Common,,Instant
Killer Whale,{3}{U}{U},5,U,Stephen Daniele,11,Creature — Whale,{U}: Killer Whale gains flying until end of turn.,"EXO,BTD,VMA,TPR","Hunger is like the sea: deep, endless, and unforgiving.",normal,26638,3,5,Uncommon,Whale,Creature
Leviathan,{5}{U}{U}{U}{U},9,U,Mark Tedin,12,Creature — Leviathan,"Trample\nLeviathan enters the battlefield tapped and doesn't untap during your untap step.\nAt the beginning of your upkeep, you may sacrifice two Islands. If you do, untap Leviathan.\nLeviathan can't attack unless you sacrifice two Islands. (This cost is paid as attackers are declared.)","DRK,4ED,5ED,BTD,TSB",,normal,26619,10,10,Rare,Leviathan,Creature
Mahamoti Djinn,{4}{U}{U},6,U,Dan Frazier,13,Creature — Djinn,Flying (This creature can't be blocked except by creatures with flying or reach.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,BTD,7ED,8ED,9ED,10E,DPA,ME4,M15,ORI","Of royal blood among the spirits of the air, the Mahamoti djinn rides on the wings of the winds. As dangerous in the gambling hall as he is in battle, he is a master of trickery and misdirection.",normal,26608,5,6,Rare,Djinn,Creature
Power Sink,{X}{U},1,U,Mark Poole,14,Instant,"Counter target spell unless its controller pays {X}. If he or she doesn't, that player taps all lands with mana abilities he or she controls and empties his or her mana pool.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,MIR,ITP,5ED,TMP,USG,6ED,BTD,VMA",,normal,26658,,,Common,,Instant
Snapping Drake,{3}{U},4,U,Christopher Rush,15,Creature — Drake,Flying,"POR,pPOD,S99,BTD,RAV,10E,M10,DPA",Drakes claim to be dragons—until the dragons show up.,normal,27262,3,2,Common,Drake,Creature
Tolarian Winds,{1}{U},2,U,Lawrence Snelly,16,Instant,"Discard all the cards in your hand, then draw that many cards.","USG,BTD,7ED","Afterward, Tolaria's winds were like the whispers of lost wizards, calling for life.",normal,27264,,,Common,,Instant
Vigilant Drake,{4}{U},5,U,Greg Staples,17,Creature — Drake,Flying\n{2}{U}: Untap Vigilant Drake.,"ULG,BTD,7ED",Awake and awing in the blink of an eye.,normal,26642,3,3,Common,Drake,Creature
Wayward Soul,{2}{U}{U},4,U,DiTerlizzi,18,Creature — Spirit,Flying\n{U}: Put Wayward Soul on top of its owner's library.,"EXO,BTD,TPR","""no home    no heart    no hope""\n—Stronghold graffito",normal,27266,3,2,Common,Spirit,Creature
Bone Harvest,{2}{B},3,B,Greg Simanson,19,Instant,Put any number of target creature cards from your graveyard on top of your library.\nDraw a card at the beginning of the next turn's upkeep.,"MIR,BTD","""Only fools believe they will face my armies but once.""\n—Kaervek",normal,27245,,,Common,,Instant
Coercion,{2}{B},3,B,Pete Venters,20,Sorcery,Target opponent reveals his or her hand. You choose a card from it. That player discards that card.,"VIS,TMP,PO2,6ED,PTK,S99,S00,BTD,8ED,9ED,TPR","""There's very little that escapes me, Greven. And you will escape very little if you fail.""\n—Volrath",normal,27248,,,Common,,Sorcery
Dark Ritual,{B},1,B,Clint Langley,21,Instant,Add {B}{B}{B} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,MIR,ITP,5ED,TMP,pJGP,USG,MMQ,BRB,BTD,DKM,CST,DDC,HOP,DDE,ME4,V13,VMA,DD3_DVD,TPR",,normal,26632,,,Common,,Instant
Death Stroke,{B}{B},2,B,Colin MacNeil,22,Sorcery,Destroy target tapped creature.,"STH,BTD,TPR","For a sharp second, Selenia froze, and Crovax's blade found home, As the angel shattered like glass, Crovax felt his mind collapse—the curse had been fulfilled.",normal,26629,,,Common,,Sorcery
Diabolic Edict,{1}{B},2,B,Ron Spencer,23,Instant,Target player sacrifices a creature.,"pARL,TMP,BTD,TPR","Greven il-Vec lifted Vhati off his feet. ""The fall will give you time to think on your failure.""",normal,27251,,,Common,,Instant
Drain Life,{X}{1}{B},2,B,Andrew Robinson,24,Sorcery,"Spend only black mana on X.\nDrain Life deals X damage to target creature or player. You gain life equal to the damage dealt, but not more life than the player's life total before Drain Life dealt damage or the creature's toughness.","LEA,LEB,2ED,CED,CEI,3ED,4ED,MIR,5ED,pFNM,BTD",,normal,26618,,,Common,,Sorcery
Fallen Angel,{3}{B}{B},5,B,Anson Maddocks,25,Creature — Angel,Flying\nSacrifice a creature: Fallen Angel gets +2/+1 until end of turn.,"LEG,CHR,5ED,6ED,BTD,7ED,8ED,DDC,CMD,DD3_DVD","""Angels are simply extensions of truth upon the fabric of life—and there is far more dark than light."" —Baron Sengir",normal,26660,3,3,Rare,Angel,Creature
Feral Shadow,{2}{B},3,B,Cliff Nielsen,26,Creature — Nightstalker,Flying,"MIR,POR,pPOD,6ED,S99,BTD","""The nightstalkers are such a minor power in Urborg. Their sad eagerness to elevate themselves makes them willing tools in the plundering of little Femeref.""\n—Kaervek",normal,27564,2,1,Common,Nightstalker,Creature
Gravedigger,{3}{B},4,B,Dermot Power,27,Creature — Zombie,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.","POR,TMP,6ED,S99,BTD,7ED,ODY,8ED,9ED,pGTW,10E,M10,HOP,M11,CMD,M12,M15,TPR,EMA",A full coffin is like a full coffer—both are attractive to thieves.,normal,27253,2,2,Common,Zombie,Creature
Hollow Dogs,{4}{B},5,B,Jeff Miracola,28,Creature — Zombie Hound,"Whenever Hollow Dogs attacks, it gets +2/+0 until end of turn.","USG,S99,BTD,7ED,9ED",A hollow dog is never empty. It is filled with thirst for the hunt.,normal,27254,3,3,Common,"Zombie,Hound",Creature
Sengir Vampire,{3}{B}{B},5,B,Jeff Easley,29,Creature — Vampire,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.","LEA,LEB,2ED,CED,CEI,3ED,4ED,BRB,BTD,TOR,9ED,10E,DPA,ME4,M12,DDK,M14,M15,ORI,W16",,normal,26607,4,4,Uncommon,Vampire,Creature
Skittering Horror,{2}{B},3,B,Mark Zug,30,Creature — Horror,"When you cast a creature spell, sacrifice Skittering Horror.","UDS,BTD","""This monstrosity will do—for now.""\n—Davvol, Evincar of Rath",normal,26656,4,3,Common,Horror,Creature
Skittering Skirge,{B}{B},2,B,Ron Spencer,31,Creature — Imp,"Flying\nWhen you cast a creature spell, sacrifice Skittering Skirge.","pARL,USG,BTD",The imps' warbling cries echo through Phyrexia's towers like those of mourning doves in a cathedral.,normal,27261,3,2,Common,Imp,Creature
Tar Pit Warrior,{2}{B},3,B,George Pratt,32,Creature — Cyclops Warrior,"When Tar Pit Warrior becomes the target of a spell or ability, sacrifice it.","VIS,BTD","""The cyclops shrugged off savage blows, but casual insults made him weep.""\n—Azeworai, ""The Cyclops who Couldn't""",normal,26615,3,4,Common,"Cyclops,Warrior",Creature
Terror,{1}{B},2,B,Ron Spencer,33,Instant,"Destroy target nonartifact, nonblack creature. It can't be regenerated.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,ATH,6ED,BRB,pFNM,S00,BTD,pMPR,MRD,10E,DPA,ME4",,normal,26659,,,Common,,Instant
Balduvian Horde,{2}{R}{R},4,R,Brian Snõddy,34,Creature — Human Barbarian,"When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.","ALL,6ED,pWOR,BTD,DKM,MED",,normal,26655,5,5,Rare,"Human,Barbarian",Creature
Ball Lightning,{R}{R}{R},3,R,Dave Dorman,35,Creature — Elemental,"Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)\nHaste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Ball Lightning.","DRK,4ED,5ED,pJGP,BTD,MED,M10,PD2",,normal,26620,6,1,Rare,Elemental,Creature
Bloodrock Cyclops,{2}{R},3,R,Tom Wänerstrand,36,Creature — Cyclops,Bloodrock Cyclops attacks each turn if able.,"WTH,BTD,10E","""He's big an' dumb an' ready to fight. A lot like ol' Hornhead here.""\n—Squee, goblin cabin hand,\nscouting report",normal,26626,3,3,Common,Cyclops,Creature
Fireball,{X}{R},1,R,Mark Tedin,37,Sorcery,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.\nFireball costs {1} more to cast for each target beyond the first.","LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,RQS,pARL,ITP,5ED,ATH,BTD,pMPR,DST,DD2,M10,ARC,M11,PD2,ME4,M12,C13,DD3_JVC",,normal,26621,,,Common,,Sorcery
Hulking Cyclops,{3}{R}{R},5,R,Paolo Parente,38,Creature — Cyclops,Hulking Cyclops can't block.,"VIS,POR,6ED,BTD,8ED","Anyone can get around a cyclops, but few can stand in its way.",normal,26624,5,5,Uncommon,Cyclops,Creature
Kird Ape,{R},1,R,"Ken Meyer, Jr.",39,Creature — Ape,Kird Ape gets +1/+2 as long as you control a Forest.,"ARN,3ED,pFNM,BTD,9ED,V09,DDH,EMA",,normal,26605,1,1,Common,Ape,Creature
Lava Axe,{4}{R},5,R,Brian Snõddy,40,Sorcery,Lava Axe deals 5 damage to target player.,"POR,PO2,ULG,S99,S00,BTD,7ED,8ED,9ED,pGTW,10E,M10,M11,M12,M14,M15","""Catch!""",normal,26643,,,Common,,Sorcery
Lightning Bolt,{R},1,R,Christopher Rush,41,Instant,Lightning Bolt deals 3 damage to target creature or player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,pJGP,ATH,BTD,pMPR,MED,M10,M11,PD2,MM2",,normal,27255,,,Common,,Instant
Lowland Giant,{2}{R}{R},4,R,Paolo Parente,42,Creature — Giant,,"TMP,BTD,TPR","""Faugh!"" snorted Tahngarth. ""Why would it make a meal of something like you?"" Squee looked relieved. ""No,"" he continued, ""you'd make a much better toothpick.""",normal,27257,4,3,Common,Giant,Creature
Raging Goblin,{R},1,R,Jeff Miracola,43,Creature — Goblin Berserker,Haste (This creature can attack and {T} as soon as it comes under your control.),"POR,PO2,EXO,ATH,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,EVG,M10,DD3_EVG","He raged at the world, at his family, at his life. But mostly he just raged.",normal,27258,1,1,Common,"Goblin,Berserker",Creature
Shivan Dragon,{4}{R}{R},6,R,Melissa A. Benson,44,Creature — Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,BTD,7ED,pREL,8ED,9ED,10E,DRB,M10,DPA,ME4,M14,M15,ORI,W16","While it's true most dragons are cruel, the Shivan dragon seems to take particular glee in the misery of others, often tormenting its victims much like a cat plays with a mouse before delivering the final blow.",normal,26622,5,5,Rare,Dragon,Creature
Shock,{R},1,R,Randy Gallegos,45,Instant,Shock deals 2 damage to target creature or player.,"STH,6ED,pFNM,S00,BTD,7ED,ONS,8ED,9ED,10E,DPA,M12,M14,DDN",Lightning tethers souls to the world.\n—Kor saying,normal,26645,,,Common,,Instant
