name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Geist of Saint Traft,{1}{W}{U},3,"W,U",Daarken,1,Legendary Creature — Spirit Cleric,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nWhenever Geist of Saint Traft attacks, put a 4/4 white Angel creature token with flying onto the battlefield tapped and attacking. Exile that token at end of combat.","ISD,pWCQ,DDQ",,normal,409577,2,2,Mythic Rare,"Spirit,Cleric",Creature
Bonds of Faith,{1}{W},2,W,Steve Argyle,2,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.","ISD,DDL,DDQ","""What cannot be destroyed will be bound.""\n—Oath of Avacyn",normal,409578,,,Common,Aura,Enchantment
Cathedral Sanctifier,{W},1,W,Michael C. Hayes,3,Creature — Human Cleric,"When Cathedral Sanctifier enters the battlefield, you gain 3 life.","AVR,DDQ","""Evil will soon be vanquished. What Innistrad most needs now is healing.""",normal,409579,1,1,Common,"Human,Cleric",Creature
Champion of the Parish,{W},1,W,Svetlin Velinov,4,Creature — Human Soldier,"Whenever another Human enters the battlefield under your control, put a +1/+1 counter on Champion of the Parish.","ISD,DDQ","""I stand for every cobbler, tanner, and fool in this town—and they stand for me.""",normal,409580,1,1,Rare,"Human,Soldier",Creature
Chapel Geist,{1}{W}{W},3,W,Peter Mohrbacher,5,Creature — Spirit,Flying,"ISD,DDQ","Death has bound it with chains of past regrets. Forever it searches for atonement, each kindness removing a single link.",normal,409581,2,3,Common,Spirit,Creature
Dearly Departed,{4}{W}{W},6,W,Daniel Ljunggren,6,Creature — Spirit,"Flying\nAs long as Dearly Departed is in your graveyard, each Human creature you control enters the battlefield with an additional +1/+1 counter on it.","ISD,DDQ","""Never forget our ancestors. They have not forgotten us.""\n—Mikaeus, the Lunarch",normal,409582,5,5,Rare,Spirit,Creature
Doomed Traveler,{W},1,W,Lars Grant-West,7,Creature — Human Soldier,"When Doomed Traveler dies, put a 1/1 white Spirit creature token with flying onto the battlefield.","ISD,DDK,CNS,DDQ",He vowed he would never rest until he reached his destination. He doesn't know how right he was.,normal,409583,1,1,Common,"Human,Soldier",Creature
Eerie Interlude,{2}{W},3,W,Svetlin Velinov,8,Instant,Exile any number of target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.,"DDQ,SOI",The barrier between existence and oblivion is thinner than you know.,normal,409584,,,Rare,,Instant
Elder Cathar,{2}{W},3,W,Chris Rahn,9,Creature — Human Soldier,"When Elder Cathar dies, put a +1/+1 counter on target creature you control. If that creature is a Human, put two +1/+1 counters on it instead.","ISD,DDQ","""My greatest hope is that you will surpass me in every way, consigning my name to some forgotten corner of history.""",normal,409585,2,2,Common,"Human,Soldier",Creature
Emancipation Angel,{1}{W}{W},3,W,Scott Chou,10,Creature — Angel,"Flying\nWhen Emancipation Angel enters the battlefield, return a permanent you control to its owner's hand.","AVR,DDQ","""You have done your best. I give you leave to rest.""",normal,409586,3,3,Uncommon,Angel,Creature
Fiend Hunter,{1}{W}{W},3,W,Wayne Reynolds,11,Creature — Human Cleric,"When Fiend Hunter enters the battlefield, you may exile another target creature.\nWhen Fiend Hunter leaves the battlefield, return the exiled card to the battlefield under its owner's control.","ISD,DDK,C13,DDQ",,normal,409587,1,3,Uncommon,"Human,Cleric",Creature
Gather the Townsfolk,{1}{W},2,W,Dan Scott,12,Sorcery,"Put two 1/1 white Human creature tokens onto the battlefield.\nFateful hour — If you have 5 or less life, put five of those tokens onto the battlefield instead.","pWPN,DKA,DDQ",In the memories of those they lost lies the strength needed to defend their city.,normal,409588,,,Common,,Sorcery
Goldnight Redeemer,{4}{W}{W},6,W,Karl Kopinski,13,Creature — Angel,"Flying\nWhen Goldnight Redeemer enters the battlefield, you gain 2 life for each other creature you control.","AVR,DDQ",The Host sings of Avacyn's return without a single verse about its own suffering.,normal,409589,4,4,Uncommon,Angel,Creature
Increasing Devotion,{3}{W}{W},5,W,Daniel Ljunggren,14,Sorcery,"Put five 1/1 white Human creature tokens onto the battlefield. If Increasing Devotion was cast from a graveyard, put ten of those tokens onto the battlefield instead.\nFlashback {7}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)","DKA,DDQ",,normal,409590,,,Rare,,Sorcery
Momentary Blink,{1}{W},2,"W,U",Evan Shipard,15,Instant,"Exile target creature you control, then return it to the battlefield under its owner's control.\nFlashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)","TSP,DDQ",,normal,409591,,,Common,,Instant
Moorland Inquisitor,{1}{W},2,W,David Palumbo,16,Creature — Human Soldier,{2}{W}: Moorland Inquisitor gains first strike until end of turn.,"AVR,DDQ","Inquisitors are taught scripture, philosophy, and the fine art of sharpening an axe.",normal,409592,2,2,Common,"Human,Soldier",Creature
Rebuke,{2}{W},3,W,Igor Kieryluk,17,Instant,Destroy target attacking creature.,"ISD,DDQ","""No one chooses to be stitched together into a skaab. If it could speak, it would beg for its own destruction.""\n—Thalia, Knight-Cathar",normal,409593,,,Common,,Instant
Slayer of the Wicked,{3}{W},4,W,Anthony Palumbo,18,Creature — Human Soldier,"When Slayer of the Wicked enters the battlefield, you may destroy target Vampire, Werewolf, or Zombie.","ISD,DDQ",You don't want to see his trophy room.,normal,409594,3,2,Uncommon,"Human,Soldier",Creature
Spectral Gateguards,{4}{W},5,W,Wayne England,19,Creature — Spirit Soldier,"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)\nAs long as Spectral Gateguards is paired with another creature, both creatures have vigilance.","AVR,DDQ",,normal,409595,2,5,Common,"Spirit,Soldier",Creature
Thraben Heretic,{1}{W},2,W,James Ryman,20,Creature — Human Wizard,{T}: Exile target creature card from a graveyard.,"DKA,DDQ","""Let them decry me for burning the dead. I'm not giving those ghoulcallers any more fuel for their madness.""",normal,409596,2,2,Uncommon,"Human,Wizard",Creature
Topplegeist,{W},1,W,Seb McKinnon,21,Creature — Spirit,"Flying\nWhen Topplegeist enters the battlefield, tap target creature an opponent controls.\nDelirium — At the beginning of each opponent's upkeep, if there are four or more card types among cards in your graveyard, tap target creature that player controls.","DDQ,SOI",,normal,409597,1,1,Uncommon,Spirit,Creature
Village Bell-Ringer,{2}{W},3,W,David Palumbo,22,Creature — Human Scout,"Flash (You may cast this spell any time you could cast an instant.)\nWhen Village Bell-Ringer enters the battlefield, untap all creatures you control.","ISD,DDQ","""Priests, hunters, slayers—to arms! The enemy approaches!""",normal,409598,1,4,Common,"Human,Scout",Creature
Voice of the Provinces,{4}{W}{W},6,W,Igor Kieryluk,23,Creature — Angel,"Flying\nWhen Voice of the Provinces enters the battlefield, put a 1/1 white Human creature token onto the battlefield.","AVR,DDQ","Her horn is heard across Innistrad, lifting the hearts of the righteous.",normal,409599,3,3,Common,Angel,Creature
Captain of the Mists,{2}{U},3,U,Allen Williams,24,Creature — Human Wizard,"Whenever another Human enters the battlefield under your control, untap Captain of the Mists.\n{1}{U}, {T}: You may tap or untap target permanent.","AVR,DDQ","""I am no mere ship's captain. The north wind is my accomplice. The tide is my first mate.""",normal,409600,2,3,Rare,"Human,Wizard",Creature
Gryff Vanguard,{4}{U},5,U,Jason Chan,25,Creature — Human Knight,"Flying\nWhen Gryff Vanguard enters the battlefield, draw a card.","AVR,DDQ","""Ghouls smashed the door, but I heard the call of the gryffs and knew we were saved.""\n—Ekka, shopkeeper of Hanweir",normal,409601,3,2,Common,"Human,Knight",Creature
Mist Raven,{2}{U}{U},4,U,John Avon,26,Creature — Bird,"Flying\nWhen Mist Raven enters the battlefield, return target creature to its owner's hand.","AVR,DDQ","""When you see a raven, head for the hills. It knows when the ghost-tide is headed in.""\n—Sved, fisherman of Nephalia",normal,409602,2,2,Common,Bird,Creature
Nephalia Smuggler,{U},1,U,Matt Stewart,27,Creature — Human Rogue,"{3}{U}, {T}: Exile another target creature you control, then return that card to the battlefield under your control.","AVR,DDQ","""My drivers are trustworthy. I removed their tongues myself. Any other questions?""",normal,409603,1,1,Uncommon,"Human,Rogue",Creature
Pore Over the Pages,{3}{U}{U},5,U,Magali Villeneuve,28,Sorcery,"Draw three cards, untap up to two lands, then discard a card.","DDQ,SOI","""‘I'm certain that the fate of Markov Manor is connected to these cryptoliths . . .' This Tamiyo was on to something.""",normal,409604,,,Uncommon,,Sorcery
Tandem Lookout,{2}{U},3,U,Kev Walker,29,Creature — Human Scout,"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)\nAs long as Tandem Lookout is paired with another creature, each of those creatures has ""Whenever this creature deals damage to an opponent, draw a card.""","AVR,DDQ",,normal,409605,2,1,Uncommon,"Human,Scout",Creature
Tower Geist,{3}{U},4,U,Izzy,30,Creature — Spirit,"Flying\nWhen Tower Geist enters the battlefield, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.","DKA,ORI,DDQ",Jenrik's tower is served by those who once sought to enter it uninvited.,normal,409606,2,2,Uncommon,Spirit,Creature
Butcher's Cleaver,{3},3,,Jason Felix,31,Artifact — Equipment,"Equipped creature gets +3/+0.\nAs long as equipped creature is a Human, it has lifelink.\nEquip {3}","ISD,DDQ","Outside the safety of Thraben, there is little distinction between tool and weapon.",normal,409607,,,Uncommon,Equipment,Artifact
Sharpened Pitchfork,{2},2,,Winona Nelson,32,Artifact — Equipment,"Equipped creature has first strike.\nAs long as equipped creature is a Human, it gets +1/+1.\nEquip {1}","ISD,DDQ","Not everyone can have a sword of blessed silver. Not everyone needs one, either.",normal,409608,,,Uncommon,Equipment,Artifact
Seraph Sanctuary,,,,David Palumbo,33,Land,"When Seraph Sanctuary enters the battlefield, you gain 1 life.\nWhenever an Angel enters the battlefield under your control, you gain 1 life.\n{T}: Add {C} to your mana pool.","AVR,DDQ",,normal,409609,,,Common,,Land
Tranquil Cove,,,"W,U",John Avon,34,Land,"Tranquil Cove enters the battlefield tapped.\nWhen Tranquil Cove enters the battlefield, you gain 1 life.\n{T}: Add {W} or {U} to your mana pool.","KTK,FRF,DDQ,EMA",,normal,409610,,,Common,,Land
Island,,,U,James Paick,35,Basic Land — Island,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DD2,M10,HOP,ME3,ZEN,H09,DDE,ROE,DPA,ARC,M11,DDF,SOM,MBS,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,DDJ,RTR,M14,THS,C13,DDM,M15,DDN,KTK,C14,DD3_JVC,FRF,DDO,DTK,TPR,ORI,BFZ,C15,DDQ,SOI",,normal,409611,,,Basic Land,Island,Land
Island,,,U,Adam Paquette,36,Basic Land — Island,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DD2,M10,HOP,ME3,ZEN,H09,DDE,ROE,DPA,ARC,M11,DDF,SOM,MBS,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,DDJ,RTR,M14,THS,C13,DDM,M15,DDN,KTK,C14,DD3_JVC,FRF,DDO,DTK,TPR,ORI,BFZ,C15,DDQ,SOI",,normal,409612,,,Basic Land,Island,Land
Island,,,U,Jung Park,37,Basic Land — Island,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DD2,M10,HOP,ME3,ZEN,H09,DDE,ROE,DPA,ARC,M11,DDF,SOM,MBS,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,DDJ,RTR,M14,THS,C13,DDM,M15,DDN,KTK,C14,DD3_JVC,FRF,DDO,DTK,TPR,ORI,BFZ,C15,DDQ,SOI",,normal,409613,,,Basic Land,Island,Land
