name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ardent Plea,{1}{W}{U},3,"W,U",Chippy,1,Enchantment,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",ARB,,normal,185054,,,Uncommon,,Enchantment
Aven Mimeomancer,{1}{W}{U},3,"W,U",Jesper Ejsing,2,Creature — Bird Wizard,"Flying\nAt the beginning of your upkeep, you may put a feather counter on target creature. If you do, that creature has base power and toughness 3/1 and has flying for as long as it has a feather counter on it.",ARB,"""If the skies are our only refuge, I will see all of us take wing.""",normal,180608,3,1,Rare,"Bird,Wizard",Creature
Ethercaste Knight,{W}{U},2,"W,U",Steven Belledin,3,Artifact Creature — Human Knight,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)","ARB,MM2","""We coat ourselves in steel every day. What is etherium but the next logical step?""",normal,179542,1,3,Common,"Human,Knight","Artifact,Creature"
Ethersworn Shieldmage,{1}{W}{U},3,"W,U",Daarken,4,Artifact Creature — Vedalken Wizard,"Flash\nWhen Ethersworn Shieldmage enters the battlefield, prevent all damage that would be dealt to artifact creatures this turn.","ARB,ARC","""See, children of metal? Already your bodies are rejecting harm. Continue on our path, and perfection will be yours.""",normal,179578,2,2,Common,"Vedalken,Wizard","Artifact,Creature"
Fieldmist Borderpost,{1}{W}{U},3,"W,U",Michael Bruinsma,5,Artifact,You may pay {1} and return a basic land you control to its owner's hand rather than pay Fieldmist Borderpost's mana cost.\nFieldmist Borderpost enters the battlefield tapped.\n{T}: Add {W} or {U} to your mana pool.,"ARB,ARC",,normal,183005,,,Common,,Artifact
Filigree Angel,{5}{W}{W}{U},8,"W,U",Richard Whitters,6,Artifact Creature — Angel,"Flying\nWhen Filigree Angel enters the battlefield, you gain 3 life for each artifact you control.","ARB,C13","""I craved enlightenment, and Crucius's etherium opened my eyes. I would share my sight with you, but first you must believe.""",normal,188965,4,4,Rare,Angel,"Artifact,Creature"
Glassdust Hulk,{3}{W}{U},5,"W,U",Franz Vohwinkel,7,Artifact Creature — Golem,"Whenever another artifact enters the battlefield under your control, Glassdust Hulk gets +1/+1 until end of turn and can't be blocked this turn.\nCycling {W/U} ({W/U}, Discard this card: Draw a card.)","ARB,MM2",,normal,179576,3,4,Common,Golem,"Artifact,Creature"
Meddling Mage,{W}{U},2,"W,U",Todd Lockwood,8,Creature — Human Wizard,"As Meddling Mage enters the battlefield, name a nonland card.\nThe named card can't be cast.","pJGP,PLS,ARB","""This violent wasteland is an indictment of its people. These cowards lack the will to oppose disorder.""",normal,179547,2,2,Rare,"Human,Wizard",Creature
Offering to Asha,{2}{W}{U},4,"W,U",Daarken,9,Instant,Counter target spell unless its controller pays {4}. You gain 4 life.,ARB,"""His body belongs to Bant now. His soul? I honestly don't know. I expect it belongs to the angels.""\n—Rafiq of the Many",normal,183007,,,Common,,Instant
Sanctum Plowbeast,{4}{W}{U},6,"W,U",Anthony Francisco,10,Artifact Creature — Beast,"Defender\nPlainscycling {2}, islandcycling {2} ({2}, Discard this card: Search your library for a Plains or Island card, reveal it, and put it into your hand. Then shuffle your library.)",ARB,,normal,144282,3,6,Common,Beast,"Artifact,Creature"
Shield of the Righteous,{W}{U},2,"W,U",David Palumbo,11,Artifact — Equipment,"Equipped creature gets +0/+2 and has vigilance.\nWhenever equipped creature blocks a creature, that creature doesn't untap during its controller's next untap step.\nEquip {2}",ARB,,normal,185063,,,Uncommon,Equipment,Artifact
Sovereigns of Lost Alara,{4}{W}{U},6,"W,U",Donato Giancola,12,Creature — Spirit,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nWhenever a creature you control attacks alone, you may search your library for an Aura card that could enchant that creature, put it onto the battlefield attached to that creature, then shuffle your library.",ARB,,normal,180600,4,5,Rare,Spirit,Creature
Stormcaller's Boon,{2}{W}{U},4,"W,U",Brandon Kitkouski,13,Enchantment,"Sacrifice Stormcaller's Boon: Creatures you control gain flying until end of turn.\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",ARB,,normal,179534,,,Common,,Enchantment
Talon Trooper,{1}{W}{U},3,"W,U",Matt Stewart,14,Creature — Bird Scout,Flying,ARB,"""The volcanic winds make a maze of the skies of Jund. If we mean to invade, we must first learn their invisible paths.""",normal,179537,2,3,Common,"Bird,Scout",Creature
Unbender Tine,{2}{W}{U},4,"W,U",Greg Hildebrandt,15,Artifact,{T}: Untap another target permanent.,"ARB,ARC",Creations made in madness may contain great power. The path to that power is as labyrinthine as the creator's mind.,normal,138217,,,Uncommon,,Artifact
Wall of Denial,{1}{W}{U},3,"W,U",Howard Lyon,16,Creature — Wall,"Defender, flying\nShroud (This creature can't be the target of spells or abilities.)","ARB,CMD,DDI",It provides what every discerning mage requires—time to think.,normal,179601,0,8,Uncommon,Wall,Creature
Architects of Will,{2}{U}{B},4,"U,B",Matt Stewart,17,Artifact Creature — Human Wizard,"When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order.\nCycling {U/B} ({U/B}, Discard this card: Draw a card.)","ARB,ARC",This secret society of mages manipulates the beliefs and opinions of others.,normal,179597,3,3,Common,"Human,Wizard","Artifact,Creature"
Brainbite,{2}{U}{B},4,"U,B",Mark Hyzer,18,Sorcery,Target opponent reveals his or her hand. You choose a card from it. That player discards that card.\nDraw a card.,ARB,An Esper mage will leave a hole in your memory with surgical precision. A Grixis mage sees no reason to be so kind.,normal,179607,,,Common,,Sorcery
Deny Reality,{3}{U}{B},5,"U,B",Jean-Sébastien Rossbach,19,Sorcery,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)\nReturn target permanent to its owner's hand.","ARB,PC2",,normal,185045,,,Common,,Sorcery
Etherium Abomination,{3}{U}{B},5,"U,B",Mitch Cotie,20,Artifact Creature — Horror,Unearth {1}{U}{B} ({1}{U}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),ARB,It was given life by the etherium of a hundred slain Esperites.,normal,179573,4,3,Common,Horror,"Artifact,Creature"
Illusory Demon,{1}{U}{B},3,"U,B",Nils Hamm,21,Creature — Demon Illusion,"Flying\nWhen you cast a spell, sacrifice Illusory Demon.",ARB,"In the Maelstrom, a trick of the light can feast on human flesh.",normal,179596,4,3,Uncommon,"Demon,Illusion",Creature
Jhessian Zombies,{4}{U}{B},6,"U,B",Ash Wood,22,Creature — Zombie,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nIslandcycling {2}, swampcycling {2} ({2}, Discard this card: Search your library for an Island or Swamp card, reveal it, and put it into your hand. Then shuffle your library.)","ARB,DDH",,normal,144286,2,4,Common,Zombie,Creature
Kathari Remnant,{2}{U}{B},4,"U,B",Anthony S. Waters,23,Creature — Bird Skeleton,"Flying\n{B}: Regenerate Kathari Remnant.\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)","ARB,PC2",,normal,185060,0,1,Uncommon,"Bird,Skeleton",Creature
Lich Lord of Unx,{1}{U}{B},3,"U,B",Dave Allsop,24,Creature — Zombie Wizard,"{U}{B}, {T}: Put a 1/1 blue and black Zombie Wizard creature token onto the battlefield.\n{U}{U}{B}{B}: Target player loses X life and puts the top X cards of his or her library into his or her graveyard, where X is the number of Zombies you control.",ARB,,normal,179555,2,2,Rare,"Zombie,Wizard",Creature
Mask of Riddles,{U}{B},2,"U,B",Matt Cavotta,25,Artifact — Equipment,"Equipped creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)\nWhenever equipped creature deals combat damage to a player, you may draw a card.\nEquip {2}",ARB,,normal,179584,,,Uncommon,Equipment,Artifact
Mind Funeral,{1}{U}{B},3,"U,B",rk post,26,Sorcery,Target opponent reveals cards from the top of his or her library until four land cards are revealed. That player puts all cards revealed this way into his or her graveyard.,"ARB,MMA","""The soul is only as eternal as I say it is.""\n—Sharuum the Hegemon",normal,179599,,,Uncommon,,Sorcery
Mistvein Borderpost,{1}{U}{B},3,"U,B",Pete Venters,27,Artifact,You may pay {1} and return a basic land you control to its owner's hand rather than pay Mistvein Borderpost's mana cost.\nMistvein Borderpost enters the battlefield tapped.\n{T}: Add {U} or {B} to your mana pool.,"ARB,ARC",,normal,161276,,,Common,,Artifact
Nemesis of Reason,{3}{U}{B},5,"U,B",Mark Tedin,28,Creature — Leviathan Horror,"Whenever Nemesis of Reason attacks, defending player puts the top ten cards of his or her library into his or her graveyard.",ARB,Words describing it fail. Pages relating it shrivel. Tales recounting it end.,normal,188962,3,7,Rare,"Leviathan,Horror",Creature
Soul Manipulation,{1}{U}{B},3,"U,B",Carl Critchlow,29,Instant,Choose one or both —\n• Counter target creature spell.\n• Return target creature card from your graveyard to your hand.,"ARB,C13","""Birth and death are both reversible.""\n—Nicol Bolas",normal,183008,,,Common,,Instant
Soulquake,{3}{U}{U}{B}{B},7,"U,B",Warren Mahy,30,Sorcery,Return all creatures on the battlefield and all creature cards in graveyards to their owners' hands.,ARB,"The Maelstrom sent a wave of raw mana through the battlefield, carrying off the fighting and fallen alike.",normal,179409,,,Rare,,Sorcery
Time Sieve,{U}{B},2,"U,B",Franz Vohwinkel,31,Artifact,"{T}, Sacrifice five artifacts: Take an extra turn after this one.",ARB,"""I pray that I am never considered useless or old.""\n—Sharuum the Hegemon",normal,189649,,,Rare,,Artifact
Vedalken Ghoul,{U}{B},2,"U,B",Dave Kendall,32,Creature — Vedalken Zombie,"Whenever Vedalken Ghoul becomes blocked, defending player loses 4 life.",ARB,"For four nights following Ennor's death and the reclaiming of his etherium, its recipients were found slain, the etherium ripped from their bodies.",normal,183010,1,1,Common,"Vedalken,Zombie",Creature
Anathemancer,{1}{B}{R},3,"B,R",Richard Whitters,33,Creature — Zombie Wizard,"When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.\nUnearth {5}{B}{R} ({5}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)","pFNM,ARB",,normal,179538,2,2,Uncommon,"Zombie,Wizard",Creature
Bituminous Blast,{3}{B}{R},5,"B,R",Raymond Swanland,34,Instant,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)\nBituminous Blast deals 4 damage to target creature.","pMPR,ARB,ARC,PC2",,normal,185057,,,Uncommon,,Instant
Breath of Malfegor,{3}{B}{R},5,"B,R",Vance Kovacs,35,Instant,Breath of Malfegor deals 5 damage to each opponent.,"pMEI,ARB",The blood of the demons quickened as their master rose over the battlefield. The blood of the angels also quickened: here was the chance to finally end the war started millennia ago.,normal,161291,,,Common,,Instant
Deathbringer Thoctar,{4}{B}{R},6,"B,R",Karl Kopinski,36,Creature — Zombie Beast,"Whenever another creature dies, you may put a +1/+1 counter on Deathbringer Thoctar.\nRemove a +1/+1 counter from Deathbringer Thoctar: Deathbringer Thoctar deals 1 damage to target creature or player.","ARB,C13",,normal,180622,3,3,Rare,"Zombie,Beast",Creature
Defiler of Souls,{3}{B}{B}{R},6,"B,R",Paul Bonner,37,Creature — Demon,"Flying\nAt the beginning of each player's upkeep, that player sacrifices a monocolored creature.",ARB,"""Stray not into sin, lest you face the doorman of an insatiable tomb.""\n—Prayer of Asha",normal,189646,5,5,Mythic Rare,Demon,Creature
Demonic Dread,{1}{B}{R},3,"B,R",Thomas M. Baxa,38,Sorcery,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)\nTarget creature can't block this turn.",ARB,,normal,185062,,,Common,,Sorcery
Demonspine Whip,{B}{R},2,"B,R",Mark Hyzer,39,Artifact — Equipment,{X}: Equipped creature gets +X/+0 until end of turn.\nEquip {1},ARB,Using a spine to break a slave's back appeals to the Grixis sense of irony.,normal,180311,,,Uncommon,Equipment,Artifact
Igneous Pouncer,{4}{B}{R},6,"B,R",Chippy,40,Creature — Elemental,"Haste\nSwampcycling {2}, mountaincycling {2} ({2}, Discard this card: Search your library for a Swamp or Mountain card, reveal it, and put it into your hand. Then shuffle your library.)","ARB,DDH",,normal,144276,5,1,Common,Elemental,Creature
