name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Always Watching,{1}{W}{W},3,W,Chase Stone,1,Enchantment,Nontoken creatures you control get +1/+1 and have vigilance.,SOI,"""We pray to Avacyn on high.\nOn snow-white wings fearless you fly.\nKeep safe our souls. Keep safe our lives.\nMay angels watch us from the skies.""\n—Children's prayer",normal,409737,,,Rare,,Enchantment
Angel of Deliverance,{6}{W}{W},8,W,Joseph Meehan,2,Creature — Angel,"Flying\nDelirium — Whenever Angel of Deliverance deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls.",SOI,,normal,409738,6,6,Rare,Angel,Creature
Angelic Purge,{2}{W},3,W,Zezhou Chen,3,Sorcery,"As an additional cost to cast Angelic Purge, sacrifice a permanent.\nExile target artifact, creature, or enchantment.",SOI,"""We must save you from yourselves.""",normal,409739,,,Common,,Sorcery
Apothecary Geist,{3}{W},4,W,Franz Vohwinkel,4,Creature — Spirit,"Flying\nWhen Apothecary Geist enters the battlefield, if you control another Spirit, you gain 3 life.",SOI,"For some customers, the old apothecary shop still opens its doors.",normal,409740,2,3,Common,Spirit,Creature
Archangel Avacyn,{3}{W}{W},5,"W,R",James Ryman,5a,Legendary Creature — Angel,"Flash\nFlying, vigilance\nWhen Archangel Avacyn enters the battlefield, creatures you control gain indestructible until end of turn.\nWhen a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep.",SOI,,double-faced,409741,4,4,Mythic Rare,Angel,Creature
"Avacyn, the Purifier",,5,"W,R",James Ryman,5b,Legendary Creature — Angel,"Flying\nWhen this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.",SOI,"""Wings that once bore hope are now stained with blood. She is our guardian no longer.""\n—Grete, cathar apostate",double-faced,409742,6,5,Mythic Rare,Angel,Creature
Avacynian Missionaries,{3}{W},4,W,Wayne Reynolds,6a,Creature — Human Cleric,"At the beginning of your end step, if Avacynian Missionaries is equipped, transform it.",SOI,"""We come bearing the word of Avacyn and the Lunarch Council.""",double-faced,409743,3,3,Uncommon,"Human,Cleric",Creature
Lunarch Inquisitors,,4,W,Wayne Reynolds,6b,Creature — Human Cleric,"When this creature transforms into Lunarch Inquisitors, you may exile another target creature until Lunarch Inquisitors leaves the battlefield.",SOI,"""We come bearing the tools of confession and absolution.""",double-faced,409744,4,4,Uncommon,"Human,Cleric",Creature
Bound by Moonsilver,{2}{W},3,W,Joseph Meehan,7,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack, block, or transform.\nSacrifice another permanent: Attach Bound by Moonsilver to target creature. Activate this ability only any time you could cast a sorcery and only once each turn.",SOI,,normal,409745,,,Uncommon,Aura,Enchantment
Bygone Bishop,{2}{W},3,W,Jason A. Engle,8,Creature — Spirit Cleric,"Flying\nWhenever you cast a creature spell with converted mana cost 3 or less, investigate. (Put a colorless Clue artifact token onto the battlefield with ""{2}, Sacrifice this artifact: Draw a card."")",SOI,,normal,409746,2,3,Rare,"Spirit,Cleric",Creature
