name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Altar's Light,{2}{W}{W},4,W,Daren Bader,1,Instant,Exile target artifact or enchantment.,MRD,"""The altar does nothing; the device is crushed under the weight of its own impurity.""\n—Ushanti, leonin seer",normal,48383,,,Uncommon,,Instant
Arrest,{2}{W},3,W,Tim Hildebrandt,2,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated.","pMEI,MMQ,MRD,SOM,RTR,MM2","""Unfortunately, it doesn't restrain the beast's smell.""\n—Glissa Sunseeker",normal,48432,,,Common,Aura,Enchantment
Auriok Bladewarden,{1}{W},2,W,Dave Dorman,3,Creature — Human Soldier,"{T}: Target creature gets +X/+X until end of turn, where X is Auriok Bladewarden's power.",MRD,The Auriok have learned through constant struggle that allies are more precious than water.,normal,48433,1,1,Uncommon,"Human,Soldier",Creature
Auriok Steelshaper,{1}{W},2,W,Dany Orizio,4,Creature — Human Soldier,"Equip costs you pay cost {1} less.\nAs long as Auriok Steelshaper is equipped, each creature you control that's a Soldier or a Knight gets +1/+1.",MRD,They put their safety in his hands. He puts sharpened steel in theirs.,normal,46081,1,1,Rare,"Human,Soldier",Creature
Auriok Transfixer,{W},1,W,Stephen Tappin,5,Creature — Human Scout,"{W}, {T}: Tap target artifact.",MRD,"""My grandfather knew enough spells to fill a hundred scrolls. Nowadays, if a spell cannot fight the levelers, it is not even taught to our young.""",normal,45963,1,1,Common,"Human,Scout",Creature
Awe Strike,{W},1,W,Scott M. Fischer,6,Instant,"The next time target creature would deal damage this turn, prevent that damage. You gain life equal to the damage prevented this way.",MRD,"Stunned by the mere presence of the leonin kha, the nim raider quickly fell to its knees.",normal,48074,,,Common,,Instant
Blinding Beam,{2}{W},3,W,Doug Chaffee,7,Instant,Choose one —\n• Tap two target creatures.\n• Creatures don't untap during target player's next untap step.\nEntwine {1} (Choose both if you pay the entwine cost.),"MRD,DDF,MMA",,normal,48099,,,Common,,Instant
Leonin Abunas,{3}{W},4,W,Darrell Riche,8,Creature — Cat Cleric,Artifacts you control have hexproof. (They can't be the targets of spells or abilities your opponents control.),"MRD,ARC",Only leonin clerics who can survive the Razor Fields for one turning of the suns can stand in the Cave of Light.,normal,46550,2,5,Rare,"Cat,Cleric",Creature
Leonin Den-Guard,{1}{W},2,W,Todd Lockwood,9,Creature — Cat Soldier,"As long as Leonin Den-Guard is equipped, it gets +1/+1 and has vigilance.",MRD,No one under the four suns can elude the watchful eye of the den-guard.,normal,45958,1,3,Common,"Cat,Soldier",Creature
Leonin Elder,{W},1,W,Todd Lockwood,10,Creature — Cat Cleric,"Whenever an artifact enters the battlefield, you may gain 1 life.",MRD,"""The wisdom of the elders is just as much a weapon as a sword or spear. We must learn to wield it.""\n—Ushanti, leonin seer",normal,46072,1,1,Common,"Cat,Cleric",Creature
Leonin Skyhunter,{W}{W},2,W,Kev Walker,11,Creature — Cat Knight,Flying,"MRD,9ED,MBS,DDG",The skyhunters were born when the first leonin gazed at the heavens and wished to hunt the birds overhead.,normal,45960,2,2,Uncommon,"Cat,Knight",Creature
Loxodon Mender,{5}{W},6,W,Heather Hudson,12,Creature — Elephant Cleric,"{W}, {T}: Regenerate target artifact.",MRD,"The Auriok believe that in the hands of a loxodon, no weapon can be broken.",normal,46071,3,3,Common,"Elephant,Cleric",Creature
Loxodon Peacekeeper,{1}{W},2,W,Michael Sutfin,13,Creature — Elephant Soldier,"At the beginning of your upkeep, the player with the lowest life total gains control of Loxodon Peacekeeper. If two or more players are tied for lowest life total, you choose one of them, and that player gains control of Loxodon Peacekeeper.",MRD,,normal,48180,4,4,Rare,"Elephant,Soldier",Creature
Loxodon Punisher,{3}{W},4,W,Terese Nielsen,14,Creature — Elephant Soldier,Loxodon Punisher gets +2/+2 for each Equipment attached to it.,MRD,The loxodons believe punishment comes in two steps: pain and atonement. They carry a weapon for each.,normal,46105,2,2,Rare,"Elephant,Soldier",Creature
Luminous Angel,{4}{W}{W}{W},7,W,Matthew D. Wilson,15,Creature — Angel,"Flying\nAt the beginning of your upkeep, you may put a 1/1 white Spirit creature token with flying onto the battlefield.","MRD,DDC,DD3_DVD",,normal,46546,4,4,Rare,Angel,Creature
Raise the Alarm,{1}{W},2,W,John Matson,16,Instant,Put two 1/1 white Soldier creature tokens onto the battlefield.,"MRD,DDF,MD1,M15,DDO,MM2,EMA","""The nim raid our homes without warning. We must defend our homes without hesitation.""",normal,48103,,,Common,,Instant
Razor Barrier,{1}{W},2,W,Ron Spencer,17,Instant,Target permanent you control gains protection from artifacts or from the color of your choice until end of turn.,"MRD,DDF","""We protect our homelands. Why should they not protect us?""",normal,47935,,,Common,,Instant
Roar of the Kha,{1}{W},2,W,Matt Cavotta,18,Instant,Choose one —\n• Creatures you control get +1/+1 until end of turn.\n• Untap all creatures you control.\nEntwine {1}{W} (Choose both if you pay the entwine cost.),MRD,,normal,48092,,,Uncommon,,Instant
Rule of Law,{2}{W},3,W,Scott M. Fischer,19,Enchantment,Each player can't cast more than one spell each turn.,"MRD,10E","Appointed by the kha himself, members of the tribunal ensure all disputes are settled with the utmost fairness.",normal,48112,,,Rare,,Enchantment
Second Sunrise,{1}{W}{W},3,W,Greg Staples,20,Instant,"Each player returns to the battlefield all artifact, creature, enchantment, and land cards in his or her graveyard that were put there from the battlefield this turn.",MRD,The bright tunnel sometimes leads back to life.,normal,49009,,,Rare,,Instant
Skyhunter Cub,{2}{W},3,W,Pete Venters,21,Creature — Cat Knight,"As long as Skyhunter Cub is equipped, it gets +1/+1 and has flying.",MRD,"Every young leonin wishes to become a skyhunter, for they soar closest to the suns.",normal,48046,2,2,Common,"Cat,Knight",Creature
