name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aven Riftwatcher,{2}{W},3,W,Don Hazeltine,1,Creature — Bird Rebel Soldier,"Flying\nVanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)\nWhen Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.","PLC,EMA",,normal,413543,2,3,Common,"Bird,Rebel,Soldier",Creature
Balance,{1}{W},2,W,Kev Walker,2,Sorcery,"Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.","LEA,LEB,2ED,CED,CEI,3ED,4ED,pJGP,V09,ME4,VMA,EMA",,normal,413544,,,Mythic Rare,,Sorcery
Ballynock Cohort,{2}{W},3,W,Jesper Ejsing,3,Creature — Kithkin Soldier,First strike\nBallynock Cohort gets +1/+1 as long as you control another white creature.,"SHM,EMA",A kithkin's worst enemy is solitude.,normal,413545,2,2,Common,"Kithkin,Soldier",Creature
Benevolent Bodyguard,{W},1,W,Roger Raupp,4,Creature — Human Cleric,Sacrifice Benevolent Bodyguard: Target creature you control gains protection from the color of your choice until end of turn.,"JUD,VMA,EMA","""My destiny is to save others so their destinies may be achieved.""",normal,413546,1,1,Common,"Human,Cleric",Creature
Calciderm,{2}{W}{W},4,W,Dave Kendall,5,Creature — Beast,"Shroud (This creature can't be the target of spells or abilities.)\nVanishing 4 (This creature enters the battlefield with four time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)","pGTW,PLC,EMA",,normal,413547,5,5,Uncommon,Beast,Creature
Coalition Honor Guard,{3}{W},4,W,Eric Peterson,6,Creature — Human Flagbearer,"While choosing targets as part of casting a spell or activating an ability, your opponents must choose at least one Flagbearer on the battlefield if able.","APC,EMA","Giving little thought to their own defense, they carried the flag that united their army.",normal,413548,2,4,Common,"Human,Flagbearer",Creature
Eight-and-a-Half-Tails,{W}{W},2,W,Daren Bader,7,Legendary Creature — Fox Cleric,{1}{W}: Target permanent you control gains protection from white until end of turn.\n{1}: Target spell or permanent becomes white until end of turn.,"CHK,EMA","""Virtue is an inner light that can prevail in every soul.""",normal,413549,2,2,Rare,"Fox,Cleric",Creature
Elite Vanguard,{W},1,W,Mark Tedin,8,Creature — Human Soldier,,"M10,M11,DDF,M12,EMA",The vanguard is skilled at waging war alone. The enemy is often defeated before its reinforcements reach the front.,normal,413550,2,1,Common,"Human,Soldier",Creature
Enlightened Tutor,{W},1,W,Howard Lyon,9,Instant,"Search your library for an artifact or enchantment card and reveal that card. Shuffle your library, then put the card on top of it.","pARL,MIR,6ED,EMA","""Organization is often undervalued but rarely unjustified.""\n—Frasio, royal archivist",normal,413551,,,Rare,,Instant
Faith's Fetters,{3}{W},4,W,Chippy,10,Enchantment — Aura,"Enchant permanent\nWhen Faith's Fetters enters the battlefield, you gain 4 life.\nEnchanted permanent's activated abilities can't be activated unless they're mana abilities. If enchanted permanent is a creature, it can't attack or block.","RAV,DDC,DD3_DVD,C15,EMA",,normal,413552,,,Uncommon,Aura,Enchantment
