name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aerie Mystics,{4}{W},5,"W,G,U",Mark Zug,1,Creature — Bird Wizard,Flying\n{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.),"CON,C13",They are cautious with their body language and facial expressions. Any stray movement could betray the positions of the troops they protect and cost many lives.,normal,153946,3,3,Uncommon,"Bird,Wizard",Creature
Asha's Favor,{2}{W},3,W,Donato Giancola,2,Enchantment — Aura,"Enchant creature\nEnchanted creature has flying, first strike, and vigilance.",CON,"As his new wings lifted him high above Bant, Taric felt his earthly aspirations transform into heavenly resolve.",normal,150826,,,Common,Aura,Enchantment
Aven Squire,{1}{W},2,W,David Palumbo,3,Creature — Bird Soldier,"Flying\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)","CON,M13","When the meek charge into battle, courage becomes infectious.",normal,184992,1,1,Common,"Bird,Soldier",Creature
Aven Trailblazer,{2}{W},3,W,Chris Rahn,4,Creature — Bird Soldier,Flying\nDomain — Aven Trailblazer's toughness is equal to the number of basic land types among lands you control.,CON,"""The bird wore the form of a man, bereft of filigree. Why do the Texts not speak of it?""\n—Belator of Esper",normal,180278,2,*,Common,"Bird,Soldier",Creature
Celestial Purge,{1}{W},2,W,David Palumbo,5,Instant,Exile target black or red permanent.,"pMPR,CON,M10,M11,M12,MM2","""This new chaos confounds us. We must fling it into our winds, our storms. These we can control.""\n—Bezzit Plar, Esper stormcaller",normal,183055,,,Uncommon,,Instant
Court Homunculus,{W},1,W,Matt Cavotta,6,Artifact Creature — Homunculus,Court Homunculus gets +1/+1 as long as you control another artifact.,"CON,MMA,MM2",Mages of Esper measure their wealth and status by the number of servants in their retinues.,normal,182607,1,1,Common,Homunculus,"Artifact,Creature"
Darklit Gargoyle,{1}{W},2,"W,B",Howard Lyon,7,Artifact Creature — Gargoyle,Flying\n{B}: Darklit Gargoyle gets +2/-1 until end of turn.,CON,It shines in the darkness of its master's ambitions.,normal,180334,1,2,Common,Gargoyle,"Artifact,Creature"
Gleam of Resistance,{4}{W},5,W,Matt Stewart,8,Instant,"Creatures you control get +1/+2 until end of turn. Untap those creatures.\nBasic landcycling {1}{W} ({1}{W}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)","CON,MMA",,normal,179505,,,Common,,Instant
Lapse of Certainty,{2}{W},3,W,Anthony Francisco,9,Instant,"Counter target spell. If that spell is countered this way, put it on top of its owner's library instead of into that player's graveyard.",CON,"Without a connection of mind and body, magic is just an idea stuck in the head, a word on the tip of a tongue.",normal,175026,,,Common,,Instant
Mark of Asylum,{1}{W},2,W,Sal Villagran,10,Enchantment,Prevent all noncombat damage that would be dealt to creatures you control.,CON,"A paragon of honor, Galo Aher fell to a blast of fire. The Order of the White Orchid was so saddened that they forged a new sigil in his likeness.",normal,186615,,,Rare,,Enchantment
Martial Coup,{X}{W}{W},2,W,Greg Staples,11,Sorcery,"Put X 1/1 white Soldier creature tokens onto the battlefield. If X is 5 or more, destroy all other creatures.","CON,V14,C14","Their war forgotten, the nations of Bant stood united in the face of a common threat.",normal,178560,,,Rare,,Sorcery
Mirror-Sigil Sergeant,{5}{W},6,W,Chris Rahn,12,Creature — Rhino Soldier,"Trample\nAt the beginning of your upkeep, if you control a blue permanent, you may put a token that's a copy of Mirror-Sigil Sergeant onto the battlefield.",CON,"""If I had many lives, I would give them all for Bant.""",normal,158598,4,4,Mythic Rare,"Rhino,Soldier",Creature
Nacatl Hunt-Pride,{5}{W},6,"W,R,G",Steve Prescott,13,Creature — Cat Warrior,"Vigilance\n{R}, {T}: Target creature can't block this turn.\n{G}, {T}: Target creature blocks this turn if able.","CON,DDH","""We must hunt and kill the dragon before it can return to raze our ancient city.""",normal,138571,5,4,Uncommon,"Cat,Warrior",Creature
Paragon of the Amesha,{2}{W},3,"W,U,B,R,G",Chris Rahn,14,Creature — Human Knight,"First strike\n{W}{U}{B}{R}{G}: Until end of turn, Paragon of the Amesha becomes an Angel, gets +3/+3, and gains flying and lifelink.",CON,"""Let my lance sing with the voices of angels and the heathen cower before my shield, for I will teach this land the meaning of honor.""",normal,179878,2,2,Uncommon,"Human,Knight",Creature
Path to Exile,{W},1,W,Todd Lockwood,15,Instant,"Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.","pWPN,CON,ARC,CMD,DDI,MMA,MD1",,normal,179235,,,Uncommon,,Instant
Rhox Meditant,{3}{W},4,W,Donato Giancola,16,Creature — Rhino Monk,"When Rhox Meditant enters the battlefield, if you control a green permanent, draw a card.",CON,The weight of her conviction balances on the harmony of her soul.,normal,159634,2,4,Common,"Rhino,Monk",Creature
Scepter of Dominance,{1}{W}{W},3,W,Howard Lyon,17,Artifact,"{W}, {T}: Tap target permanent.",CON,"""Whether or not you will bow to me is not open to debate. The question is, will I ever let you rise?""\n—Fridius, telemin master",normal,174792,,,Rare,,Artifact
Sigil of the Empty Throne,{3}{W}{W},5,W,Cyril Van Der Haegen,18,Enchantment,"Whenever you cast an enchantment spell, put a 4/4 white Angel creature token with flying onto the battlefield.","CON,PC2,ORI,C15","When Asha left Bant, she ensured that the world would have protection and order in her absence.",normal,180271,,,Rare,,Enchantment
Valiant Guard,{W},1,W,Chris Rahn,19,Creature — Human Soldier,,CON,"As the outsiders invaded Bant, soldiers who once saw sigils as the highest marks of glory began to see the scars of battle as tokens of equal worth.",normal,184984,0,3,Common,"Human,Soldier",Creature
Wall of Reverence,{3}{W},4,W,Wayne Reynolds,20,Creature — Spirit Wall,"Defender, flying\nAt the beginning of your end step, you may gain life equal to the power of target creature you control.","CON,C13","The lives of elves are long, but their memories are longer. Even after death, they do not desert their homes.",normal,189874,1,6,Rare,"Spirit,Wall",Creature
Brackwater Elemental,{2}{U},3,U,Thomas M. Baxa,21,Creature — Elemental,"When Brackwater Elemental attacks or blocks, sacrifice it at the beginning of the next end step.\nUnearth {2}{U} ({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)","CON,DDH",,normal,180147,4,4,Common,Elemental,Creature
Constricting Tendrils,{U},1,U,David Palumbo,22,Instant,"Target creature gets -3/-0 until end of turn.\nCycling {2} ({2}, Discard this card: Draw a card.)",CON,Priests of Bant protect their temples with traps more elaborate than any mosaic floor.,normal,180272,,,Common,,Instant
Controlled Instincts,{U},1,U,Ralph Horsley,23,Enchantment — Aura,Enchant red or green creature\nEnchanted creature doesn't untap during its controller's untap step.,CON,"Togk Manytooth struggled helplessly as the kathari circled above him. For a warrior, immobilization is a fate worse than death.",normal,183053,,,Uncommon,Aura,Enchantment
Cumber Stone,{3}{U},4,U,Warren Mahy,24,Artifact,Creatures your opponents control get -1/-0.,CON,"""The stone is more potent than ever. The flesh that creeps into our land will become even more slovenly and weak.""\n—Niclavs, archmage of Esper",normal,180322,,,Uncommon,,Artifact
Esperzoa,{2}{U},3,U,Warren Mahy,25,Artifact Creature — Jellyfish,"Flying\nAt the beginning of your upkeep, return an artifact you control to its owner's hand.","CON,DDF,MMA","The more metal it digests, the more its jelly will fetch on the alchemists' market.",normal,180158,4,3,Uncommon,Jellyfish,"Artifact,Creature"
Ethersworn Adjudicator,{4}{U},5,"U,W,B",Dan Scott,26,Artifact Creature — Vedalken Knight,"Flying\n{1}{W}{B}, {T}: Destroy target creature or enchantment.\n{2}{U}: Untap Ethersworn Adjudicator.",CON,Esper mages devised their weapons to be so devastating that war seemed unnecessary.,normal,175035,4,4,Mythic Rare,"Vedalken,Knight","Artifact,Creature"
Faerie Mechanist,{3}{U},4,U,Matt Cavotta,27,Artifact Creature — Faerie Artificer,"Flying\nWhen Faerie Mechanist enters the battlefield, look at the top three cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order.","CON,DDF,MMA,MM2",,normal,182608,2,2,Common,"Faerie,Artificer","Artifact,Creature"
Frontline Sage,{2}{U},3,U,Volkan Baga,28,Creature — Human Wizard,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\n{U}, {T}: Draw a card, then discard a card.",CON,The battle was won in the commander's head before the first weapon was drawn.,normal,184993,0,1,Common,"Human,Wizard",Creature
Grixis Illusionist,{U},1,U,Mark Tedin,29,Creature — Human Wizard,{T}: Target land you control becomes the basic land type of your choice until end of turn.,"CON,CNS","""It's simple, really. If they can't find us, they can't kill us.""",normal,177927,1,1,Common,"Human,Wizard",Creature
Inkwell Leviathan,{7}{U}{U},9,U,Anthony Francisco,30,Artifact Creature — Leviathan,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nTrample\nShroud (This creature can't be the target of spells or abilities.),"CON,PD3,DDO,EMA","""Into its maw went the seventh sea, never to be seen again while the world remains.""\n—Esper fable",normal,154081,7,11,Rare,Leviathan,"Artifact,Creature"
Master Transmuter,{3}{U},4,U,Chippy,31,Artifact Creature — Human Artificer,"{U}, {T}, Return an artifact you control to its owner's hand: You may put an artifact card from your hand onto the battlefield.","CON,ARC","""Wasted potential surrounds us. Lend me that bauble, and let me see what it can be made to be.""",normal,179252,1,2,Rare,"Human,Artificer","Artifact,Creature"
Parasitic Strix,{2}{U},3,U,Steven Belledin,32,Artifact Creature — Bird,"Flying\nWhen Parasitic Strix enters the battlefield, if you control a black permanent, target player loses 2 life and you gain 2 life.",CON,"After finding no sustenance on the edges of Grixis, it turned to the skies of Bant.",normal,175021,2,2,Common,Bird,"Artifact,Creature"
Scepter of Insight,{1}{U}{U},3,U,Steven Belledin,33,Artifact,"{3}{U}, {T}: Draw a card.",CON,"""The road to truth has many branches, and so must the cane with which I walk it.""\n—Voln the Elder",normal,184989,,,Rare,,Artifact
Scornful Æther-Lich,{3}{U},4,"U,W,B",Steven Belledin,34,Artifact Creature — Zombie Wizard,"{W}{B}: Scornful Æther-Lich gains fear and vigilance until end of turn. (Attacking doesn't cause it to tap, and it can't be blocked except by artifact creatures and/or black creatures.)",CON,"""With no flesh, there is no pain, no hesitation, no emotion of any kind. He is crafted perfection.""\n—Tezzeret",normal,186328,2,4,Uncommon,"Zombie,Wizard","Artifact,Creature"
Telemin Performance,{3}{U}{U},5,U,Izzy,35,Sorcery,"Target opponent reveals cards from the top of his or her library until he or she reveals a creature card. That player puts all noncreature cards revealed this way into his or her graveyard, then you put the creature card onto the battlefield under your control.",CON,,normal,189085,,,Rare,,Sorcery
Traumatic Visions,{3}{U}{U},5,U,Cyril Van Der Haegen,36,Instant,"Counter target spell.\nBasic landcycling {1}{U} ({1}{U}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)","CON,MMA,DDN",,normal,179508,,,Common,,Instant
Unsummon,{U},1,U,Izzy,37,Instant,Return target creature to its owner's hand.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED,8ED,10E,CON,M10,DPA,M11,M12,M13","""Send it back to its own strange world so we can avoid another inglorious combat with these wicked beings.""\n—Captain Valek of Jhess",normal,177932,,,Common,,Instant
View from Above,{1}{U},2,U,Howard Lyon,38,Instant,"Target creature gains flying until end of turn. If you control a white permanent, return View from Above to its owner's hand.",CON,"""This air feels so heavy and thick. There are no winds to speak of. I fear the knowledge that comes from a place like this.""",normal,183058,,,Uncommon,,Instant
Worldly Counsel,{1}{U},2,U,Matt Cavotta,39,Instant,"Domain — Look at the top X cards of your library, where X is the number of basic land types among lands you control. Put one of those cards into your hand and the rest on the bottom of your library in any order.","INV,CON",Every horizon hides a new possibility.,normal,142298,,,Common,,Instant
Absorb Vis,{6}{B},7,B,Brandon Kitkouski,40,Sorcery,"Target player loses 4 life and you gain 4 life.\nBasic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)","CON,DDK,MMA",,normal,179513,,,Common,,Sorcery
Corrupted Roots,{B},1,B,Mark Hyzer,41,Enchantment — Aura,"Enchant Forest or Plains\nWhenever enchanted land becomes tapped, its controller loses 2 life.",CON,"The bones of Jund's dead resurfaced in Naya, poisoning the jungle and killing the sunseeders' crops.",normal,183054,,,Uncommon,Aura,Enchantment
Drag Down,{2}{B},3,B,Trevor Claxton,42,Instant,Domain — Target creature gets -1/-1 until end of turn for each basic land type among lands you control.,"CON,MMA","The barbarians of Jund believe the bottomless tar pits extend forever into other, darker worlds.",normal,179239,,,Common,,Instant
Dreadwing,{B},1,"B,U,R",Mark Hyzer,43,Creature — Zombie,{1}{U}{R}: Dreadwing gets +3/+0 and gains flying until end of turn.,CON,Dreadwings spring from lofty perches to surprise kathari in midflight. They smother their prey and then consume it as they glide gently toward the ground.,normal,159629,1,1,Uncommon,Zombie,Creature
