name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Bane of Bala Ged,{7},7,,Chase Stone,1,Creature — Eldrazi,"Whenever Bane of Bala Ged attacks, defending player exiles two permanents he or she controls.",BFZ,"The continent of Bala Ged was ravaged by massive Eldrazi of Ulamog's lineage, its lush jungles and cascading rivers reduced to dust.",normal,401814,7,5,Uncommon,Eldrazi,Creature
Blight Herder,{5},5,,Todd Lockwood,2,Creature — Eldrazi Processor,"When you cast Blight Herder, you may put two cards your opponents own from exile into their owners' graveyards. If you do, put three 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have ""Sacrifice this creature: Add {C} to your mana pool.""",BFZ,,normal,401819,4,5,Rare,"Eldrazi,Processor",Creature
Breaker of Armies,{8},8,,Richard Wright,3,Creature — Eldrazi,All creatures able to block Breaker of Armies do so.,BFZ,"""There are some who have lost everyone and everything. They actively seek out the Eldrazi, eager for the smallest measure of vengeance.""—Munda, ambush leader",normal,401829,10,8,Uncommon,Eldrazi,Creature
Conduit of Ruin,{6},6,,Slawomir Maniak,4,Creature — Eldrazi,"When you cast Conduit of Ruin, you may search your library for a colorless creature card with converted mana cost 7 or greater, reveal it, then shuffle your library and put that card on top of it.\nThe first creature spell you cast each turn costs {2} less to cast.",BFZ,,normal,401847,5,5,Rare,Eldrazi,Creature
Deathless Behemoth,{6},6,,Jason Felix,5,Creature — Eldrazi,Vigilance\nSacrifice two Eldrazi Scions: Return Deathless Behemoth from your graveyard to your hand. Activate this ability only any time you could cast a sorcery.,BFZ,"""Over and over it rose. Over and over we fell.""—Ganda, Goma Fada deserter",normal,401854,6,6,Uncommon,Eldrazi,Creature
Desolation Twin,{10},10,,Jack Wang,6,Creature — Eldrazi,"When you cast Desolation Twin, put a 10/10 colorless Eldrazi creature token onto the battlefield.",BFZ,"""With precise coordination and enough blood spilled, one can be driven off, even brought down. But two . . . that's a lot of blood.""—Munda, ambush leader",normal,401857,10,10,Rare,Eldrazi,Creature
Eldrazi Devastator,{8},8,,Joseph Meehan,7,Creature — Eldrazi,Trample,BFZ,"""No matter how big your champion, theirs is bigger. No matter how great your numbers, theirs are greater. No matter how voracious your appetite, they are hungrier. That is why the Eldrazi will win.""—Kalitas, thrall of Ulamog",normal,401867,8,9,Common,Eldrazi,Creature
Endless One,{X},,,Jason Felix,8,Creature — Eldrazi,Endless One enters the battlefield with X +1/+1 counters on it.,BFZ,"It embodies all possible meanings of the word ""infinite.""",normal,401871,0,0,Rare,Eldrazi,Creature
Gruesome Slaughter,{6},6,,Aleksi Briclot,9,Sorcery,"Until end of turn, colorless creatures you control gain ""{T}: This creature deals damage equal to its power to target creature.""",BFZ,"Though Gideon arrived at Sea Gate too late to prevent the massacre, he still had enough time to lead its survivors to relative safety.",normal,401905,,,Rare,,Sorcery
Kozilek's Channeler,{5},5,,Jason Felix,10,Creature — Eldrazi,{T}: Add {C}{C} to your mana pool.,BFZ,"""In the dark places of our world, something horrible is growing. I fear our foes may be more numerous than we had imagined.""—Nissa Revane",normal,401936,4,4,Common,Eldrazi,Creature
