name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Accorder Paladin,{1}{W},2,W,Kekai Kotaki,1,Creature — Human Knight,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)",MBS,"""I fight for the suns, the surface, and everything in between.""",normal,213818,3,1,Uncommon,"Human,Knight",Creature
Ardent Recruit,{W},1,W,Mike Bierek,2,Creature — Human Soldier,Metalcraft — Ardent Recruit gets +2/+2 as long as you control three or more artifacts.,MBS,"""We lost our homes and our kin. We won't let those rotters take our future as well.""",normal,213794,1,1,Common,"Human,Soldier",Creature
Banishment Decree,{3}{W}{W},5,W,James Ryman,3,Instant,"Put target artifact, creature, or enchantment on top of its owner's library.",MBS,"""Unworthy of consecration.""\n—Axsh, lesser cenobite",normal,213792,,,Common,,Instant
Choking Fumes,{2}{W},3,W,Scott Chou,4,Instant,Put a -1/-1 counter on each attacking creature.,MBS,"""Fall to your knees and welcome our embrace.""\n—Qal-Sha, Priest of Norn",normal,213808,,,Uncommon,,Instant
Divine Offering,{1}{W},2,W,Terese Nielsen,5,Instant,Destroy target artifact. You gain life equal to its converted mana cost.,"LEG,CHR,MIR,5ED,ME4,MBS","""The Phyrexians are vulnerable. Do not despair. We will prevail!""\n—Juryan, rebel leader",normal,213760,,,Common,,Instant
Frantic Salvage,{3}{W},4,W,Scott Chou,6,Instant,Put any number of target artifact cards from your graveyard on top of your library.\nDraw a card.,MBS,"""We will mourn when there is time. For now, we survive.""",normal,213791,,,Common,,Instant
Gore Vassal,{2}{W},3,W,Matt Cavotta,7,Creature — Hound,"Sacrifice Gore Vassal: Put a -1/-1 counter on target creature. Then if that creature's toughness is 1 or greater, regenerate it.",MBS,"""Rid them of their unfaithful organs. Bring new hearts to the unbelievers.""\n—Tome of Machines, verse 1703",normal,213798,2,1,Uncommon,Hound,Creature
Hero of Bladehold,{2}{W}{W},4,W,Austin Hsu,8,Creature — Human Knight,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)\nWhenever Hero of Bladehold attacks, put two 1/1 white Soldier creature tokens onto the battlefield tapped and attacking.","pPRE,MBS",,normal,214064,3,4,Mythic Rare,"Human,Knight",Creature
Kemba's Legion,{5}{W}{W},7,W,Anthony Francisco,9,Creature — Cat Soldier,Vigilance\nKemba's Legion can block an additional creature for each Equipment attached to Kemba's Legion.,MBS,The squabble over succession was quickly replaced by the struggle to survive.,normal,214056,4,6,Uncommon,"Cat,Soldier",Creature
Leonin Relic-Warder,{W}{W},2,W,Greg Staples,10,Creature — Cat Cleric,"When Leonin Relic-Warder enters the battlefield, you may exile target artifact or enchantment.\nWhen Leonin Relic-Warder leaves the battlefield, return the exiled card to the battlefield under its owner's control.",MBS,,normal,222860,2,2,Uncommon,"Cat,Cleric",Creature
