name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ancestor's Chosen,{5}{W}{W},7,W,Pete Venters,1,Creature — Human Cleric,"First strike (This creature deals combat damage before creatures without first strike.)\nWhen Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.","JUD,10E",Empowered by generations of strength.,normal,34243,4,4,Uncommon,"Human,Cleric",Creature
Aven Warcraft,{2}{W},3,W,Roger Raupp,2,Instant,"Creatures you control get +0/+2 until end of turn.\nThreshold — If seven or more cards are in your graveyard, choose a color. Creatures you control also gain protection from the chosen color until end of turn.",JUD,,normal,34865,,,Uncommon,,Instant
Battle Screech,{2}{W}{W},4,W,Randy Gallegos,3,Sorcery,Put two 1/1 white Bird creature tokens with flying onto the battlefield.\nFlashback—Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.),"JUD,VMA",,normal,35079,,,Uncommon,,Sorcery
Battlewise Aven,{3}{W},4,W,Wayne England,4,Creature — Bird Soldier,"Flying\nThreshold — As long as seven or more cards are in your graveyard, Battlewise Aven gets +1/+1 and has first strike.",JUD,"Experience is a good teacher, not a kind one.",normal,34464,2,2,Common,"Bird,Soldier",Creature
Benevolent Bodyguard,{W},1,W,Roger Raupp,5,Creature — Human Cleric,Sacrifice Benevolent Bodyguard: Target creature you control gains protection from the color of your choice until end of turn.,"JUD,VMA,EMA","""My destiny is to save others so their destinies may be achieved.""",normal,36118,1,1,Common,"Human,Cleric",Creature
Border Patrol,{4}{W},5,W,Roger Raupp,6,Creature — Human Nomad,Vigilance,JUD,"""We have been victims of treachery, of the Cabal, and of our own ambitions. No more.""\n—Commander Eesha",normal,34201,1,6,Common,"Human,Nomad",Creature
Cagemail,{1}{W},2,W,Scott M. Fischer,7,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+2 and can't attack.,JUD,"""Power often costs too high a price.""\n—Commander Eesha",normal,36429,,,Common,Aura,Enchantment
Chastise,{3}{W},4,W,Carl Critchlow,8,Instant,Destroy target attacking creature. You gain life equal to its power.,"JUD,8ED,9ED","""Why do we pray to the Ancestor? Because She listens.""\n—Mystic elder",normal,34958,,,Uncommon,,Instant
Commander Eesha,{2}{W}{W},4,W,Rebecca Guay,9,Legendary Creature — Bird Soldier,"Flying, protection from creatures",JUD,"""War glides on the simplest updrafts while peace struggles against hurricane winds. It is the way of the world. It must change.""",normal,35893,2,4,Rare,"Bird,Soldier",Creature
Funeral Pyre,{W},1,W,Carl Critchlow,10,Instant,Exile target card from a graveyard. Its owner puts a 1/1 white Spirit creature token with flying onto the battlefield.,JUD,"""Raze the body. Raise the soul.""\n—Mystic elder",normal,34889,,,Common,,Instant
Glory,{3}{W}{W},5,W,Donato Giancola,11,Creature — Incarnation,Flying\n{2}{W}: Choose a color. Creatures you control gain protection from the chosen color until end of turn. Activate this ability only if Glory is in your graveyard.,"pPRE,JUD","""Glory was gone; Glory was everywhere.""\n—Scroll of Beginnings",normal,34822,3,3,Rare,Incarnation,Creature
Golden Wish,{3}{W}{W},5,W,Alan Pollack,12,Sorcery,"You may choose an artifact or enchantment card you own from outside the game, reveal that card, and put it into your hand. Exile Golden Wish.",JUD,"She wished for nobility, but not for a nation to honor it.",normal,34399,,,Rare,,Sorcery
Guided Strike,{1}{W},2,W,Dave Dorman,13,Instant,Target creature gets +1/+0 and gains first strike until end of turn.\nDraw a card.,"WTH,JUD","""May the Ancestor strengthen my hand and guide my blade.""\n—Nomad war prayer",normal,36431,,,Common,,Instant
Lead Astray,{1}{W},2,W,Adam Rex,14,Instant,Tap up to two target creatures.,JUD,"""Never underestimate our enemy's strength, brutality, . . . or stupidity.""\n—Commander Eesha",normal,34768,,,Common,,Instant
Nomad Mythmaker,{2}{W},3,W,Eric Peterson,15,Creature — Human Nomad Cleric,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.","JUD,10E",Nomads weave tales thicker than tapestries.,normal,34241,2,2,Rare,"Human,Nomad,Cleric",Creature
Phantom Flock,{3}{W}{W},5,W,David Martin,16,Creature — Bird Soldier Spirit,"Flying\nPhantom Flock enters the battlefield with three +1/+1 counters on it.\nIf damage would be dealt to Phantom Flock, prevent that damage. Remove a +1/+1 counter from Phantom Flock.",JUD,,normal,34932,0,0,Uncommon,"Bird,Soldier,Spirit",Creature
Phantom Nomad,{1}{W},2,W,Jim Nelson,17,Creature — Spirit Nomad,"Phantom Nomad enters the battlefield with two +1/+1 counters on it.\nIf damage would be dealt to Phantom Nomad, prevent that damage. Remove a +1/+1 counter from Phantom Nomad.","JUD,VMA",,normal,34890,0,0,Common,"Spirit,Nomad",Creature
Prismatic Strands,{2}{W},3,W,Eric Peterson,18,Instant,Prevent all damage that sources of the color of your choice would deal this turn.\nFlashback—Tap an untapped white creature you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.),JUD,,normal,34233,,,Common,,Instant
Pulsemage Advocate,{2}{W},3,W,Jeff Easley,19,Creature — Human Cleric,{T}: Return three target cards from an opponent's graveyard to his or her hand. Return target creature card from your graveyard to the battlefield.,JUD,"""Our unity revives our hopes.""",normal,35575,1,3,Rare,"Human,Cleric",Creature
Ray of Revelation,{1}{W},2,"W,G",Doug Chaffee,20,Instant,Destroy target enchantment.\nFlashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),"JUD,DKA",Webs of illusion unravel in the light of truth.,normal,34199,,,Common,,Instant
Selfless Exorcist,{3}{W}{W},5,W,Christopher Moeller,21,Creature — Human Cleric,{T}: Exile target creature card from a graveyard. That card deals damage equal to its power to Selfless Exorcist.,JUD,,normal,34891,3,4,Rare,"Human,Cleric",Creature
Shieldmage Advocate,{2}{W},3,W,Christopher Moeller,22,Creature — Human Cleric,{T}: Return target card from an opponent's graveyard to his or her hand. Prevent all damage that would be dealt to target creature or player this turn by a source of your choice.,JUD,"""Our unity conquers all fears.""",normal,35067,1,3,Common,"Human,Cleric",Creature
Silver Seraph,{5}{W}{W}{W},8,W,Matthew D. Wilson,23,Creature — Angel,Flying\nThreshold — Other creatures you control get +2/+2 as long as seven or more cards are in your graveyard.,JUD,A symbol of hope for hopeless times.,normal,36036,6,6,Rare,Angel,Creature
Solitary Confinement,{2}{W},3,W,Scott M. Fischer,24,Enchantment,"At the beginning of your upkeep, sacrifice Solitary Confinement unless you discard a card.\nSkip your draw step.\nYou have shroud. (You can't be the target of spells or abilities.)\nPrevent all damage that would be dealt to you.",JUD,,normal,34769,,,Rare,,Enchantment
Soulcatchers' Aerie,{1}{W},2,W,Rob Alexander,25,Enchantment,"Whenever a Bird is put into your graveyard from the battlefield, put a feather counter on Soulcatchers' Aerie.\nBird creatures get +1/+1 for each feather counter on Soulcatchers' Aerie.",JUD,,normal,35095,,,Uncommon,,Enchantment
Spirit Cairn,{2}{W},3,W,Gary Ruddell,26,Enchantment,"Whenever a player discards a card, you may pay {W}. If you do, put a 1/1 white Spirit creature token with flying onto the battlefield.","JUD,VMA",It marks the border between here and hereafter.,normal,34897,,,Uncommon,,Enchantment
Spurnmage Advocate,{W},1,W,Ron Spears,27,Creature — Human Nomad,{T}: Return two target cards from an opponent's graveyard to his or her hand. Destroy target attacking creature.,"JUD,CMD","""Our unity humbles our foes.""",normal,34242,1,1,Uncommon,"Human,Nomad",Creature
Suntail Hawk,{W},1,W,Heather Hudson,28,Creature — Bird,Flying,"JUD,8ED,9ED,10E,M14","""Our forebears once flew like this—carefree, needing nothing but a warm nest and a full belly. Our intellect may be more burden than blessing.""\n—Commander Eesha",normal,34207,1,1,Common,Bird,Creature
Test of Endurance,{2}{W}{W},4,W,Mike Ploog,29,Enchantment,"At the beginning of your upkeep, if you have 50 or more life, you win the game.",JUD,"""If we have learned nothing else, we have learned to survive.""\n—Mystic elder",normal,29924,,,Rare,,Enchantment
Trained Pronghorn,{1}{W},2,W,John Matson,30,Creature — Antelope,Discard a card: Prevent all damage that would be dealt to Trained Pronghorn this turn.,JUD,"""The desert asked the Ancestor for children, and the antelope were born.""\n—Nomad myth",normal,35068,1,1,Common,Antelope,Creature
Unquestioned Authority,{2}{W},3,W,Alex Horley-Orlandelli,31,Enchantment — Aura,"Enchant creature\nWhen Unquestioned Authority enters the battlefield, draw a card.\nEnchanted creature has protection from creatures.","JUD,CNS","""Only the Ancestor should be revered.""\n—Mystic heretic",normal,24541,,,Uncommon,Aura,Enchantment
Valor,{3}{W},4,W,Kev Walker,32,Creature — Incarnation,"First strike\nAs long as Valor is in your graveyard and you control a Plains, creatures you control have first strike.","JUD,TSB","""The cracks widened, the shell crumbled, and Valor spread throughout the land.""\n—Scroll of Beginnings",normal,33719,2,2,Uncommon,Incarnation,Creature
Vigilant Sentry,{1}{W}{W},3,W,Eric Peterson,33,Creature — Human Nomad,"Threshold — As long as seven or more cards are in your graveyard, Vigilant Sentry gets +1/+1 and has ""{T}: Target attacking or blocking creature gets +3/+3 until end of turn.""",JUD,,normal,36035,2,2,Common,"Human,Nomad",Creature
Aven Fogbringer,{3}{U},4,U,"Edward P. Beard, Jr.",34,Creature — Bird Wizard,"Flying\nWhen Aven Fogbringer enters the battlefield, return target land to its owner's hand.",JUD,"""I cover the land with blankets and it sleeps.""",normal,21275,2,1,Common,"Bird,Wizard",Creature
Cephalid Constable,{1}{U}{U},3,U,Alan Pollack,35,Creature — Cephalid Wizard,"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owners' hands.","JUD,10E",Cephalids don't police people. They police loyalties.,normal,26728,1,1,Rare,"Cephalid,Wizard",Creature
Cephalid Inkshrouder,{2}{U},3,U,Tony Szczudlo,36,Creature — Cephalid,Discard a card: Cephalid Inkshrouder gains shroud until end of turn and can't be blocked this turn. (A creature with shroud can't be the target of spells or abilities.),JUD,Cephalids shrink from the harsh glare of scrutiny.,normal,34784,2,1,Uncommon,Cephalid,Creature
Cunning Wish,{2}{U},3,U,Jim Nelson,37,Instant,"You may choose an instant card you own from outside the game, reveal that card, and put it into your hand. Exile Cunning Wish.","pJGP,JUD","He wished for knowledge, but not for the will to apply it.",normal,34400,,,Rare,,Instant
Defy Gravity,{U},1,U,Ben Thompson,38,Instant,Target creature gains flying until end of turn.\nFlashback {U} (You may cast this card from your graveyard for its flashback cost. Then exile it.),JUD,"Magical or not, it's still a cloud.",normal,35076,,,Common,,Instant
Envelop,{U},1,U,Don Hazeltine,39,Instant,Counter target sorcery spell.,JUD,"""What you made will be unmade. What you learned will be unlearned. And when you're done, you will be undone.""\n—Ambassador Laquatus",normal,36414,,,Common,,Instant
Flash of Insight,{X}{1}{U},2,U,Ben Thompson,40,Instant,"Look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.\nFlashback—{1}{U}, Exile X blue cards from your graveyard. (You may cast this card from your graveyard for its flashback cost, then exile it. You can't exile Flash of Insight to pay for its own flashback cost.)",JUD,,normal,29831,,,Uncommon,,Instant
Grip of Amnesia,{1}{U},2,U,Bradley Williams,41,Instant,Counter target spell unless its controller exiles all cards from his or her graveyard.\nDraw a card.,JUD,"""Would you abandon your past to save your future?""\n—Ambassador Laquatus",normal,34808,,,Common,,Instant
Hapless Researcher,{U},1,U,Ron Spears,42,Creature — Human Wizard,"Sacrifice Hapless Researcher: Draw a card, then discard a card.",JUD,Scholars possess such lofty knowledge that it shouldn't be surprising when they fall.,normal,36115,1,1,Common,"Human,Wizard",Creature
