name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aegis Angel,{4}{W}{W},6,W,Aleksi Briclot,1,Creature — Angel,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)","M12,M15,ORI,W16",,normal,413367,5,5,Rare,Angel,Creature
Marked by Honor,{3}{W},4,W,David Palumbo,2,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+2 and has vigilance. (Attacking doesn't cause it to tap.),"M15,W16",Stand your post for duty. Stand your ground for honor.,normal,413368,,,Common,Aura,Enchantment
Serra Angel,{3}{W}{W},5,W,Greg Staples,3,Creature — Angel,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pWOS,7ED,8ED,9ED,10E,DDC,M10,M11,ME4,CMD,M12,M13,M14,M15,DD3_DVD,ORI,V15,W16,EMA","Follow the light. In its absence, follow her.",normal,413369,4,4,Uncommon,Angel,Creature
Air Servant,{4}{U},5,U,Lars Grant-West,4,Creature — Elemental,Flying\n{2}{U}: Tap target creature with flying.,"M11,M14,CNS,MM2,W16","Wind is forceful, yet ephemeral. It can knock a dragon out of the sky, yet pass through the smallest crack unhindered.",normal,413370,4,3,Uncommon,Elemental,Creature
Disperse,{1}{U},2,U,Ryan Yee,5,Instant,Return target nonland permanent to its owner's hand.,"MOR,SOM,M14,ORI,W16",It's pointless to hold on when you have nothing to hold on with.,normal,413371,,,Common,,Instant
Sphinx of Magosi,{3}{U}{U}{U},6,U,James Ryman,6,Creature — Sphinx,"Flying\n{2}{U}: Draw a card, then put a +1/+1 counter on Sphinx of Magosi.","ROE,C14,W16","""A riddle is nothing more than a trap for small minds, baited with the promise of understanding.""",normal,413372,6,6,Rare,Sphinx,Creature
Mind Rot,{2}{B},3,B,Steve Luke,7,Sorcery,Target player discards two cards.,"POR,PO2,S99,7ED,8ED,9ED,10E,M10,DPA,M11,M12,M13,RTR,M14,M15,DTK,ORI,W16","""It saddens me to lose a source of inspiration. This one seemed especially promising.""\n—Ashiok",normal,413373,,,Common,,Sorcery
Nightmare,{5}{B},6,B,Vance Kovacs,8,Creature — Nightmare Horse,Flying (This creature can't be blocked except by creatures with flying or reach.)\nNightmare's power and toughness are each equal to the number of Swamps you control.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED,8ED,9ED,10E,M10,M14,M15,ORI,W16",The thunder of its hooves beats dreams into despair.,normal,413374,*,*,Rare,"Nightmare,Horse",Creature
Sengir Vampire,{3}{B}{B},5,B,Kev Walker,9,Creature — Vampire,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.","LEA,LEB,2ED,CED,CEI,3ED,4ED,BRB,BTD,TOR,9ED,10E,DPA,ME4,M12,DDK,M14,M15,ORI,W16","Empires rise and fall, but evil is eternal.",normal,413375,4,4,Uncommon,Vampire,Creature
Walking Corpse,{1}{B},2,B,Igor Kieryluk,10,Creature — Zombie,,"ISD,M13,M15,W16","""Feeding a normal army is a problem of logistics. With zombies, it is an asset. Feeding is why they fight. Feeding is why they are feared.""\n—Jadar, ghoulcaller of Nephalia",normal,413376,2,2,Common,Zombie,Creature
Borderland Marauder,{1}{R},2,R,Scott M. Fischer,11,Creature — Human Warrior,"Whenever Borderland Marauder attacks, it gets +2/+0 until end of turn.","M15,W16,EMA","Though she is rightly feared, there are relatively few tales of her deeds in battle, for few survive her raids.",normal,413377,1,2,Common,"Human,Warrior",Creature
Cone of Flame,{3}{R}{R},5,R,Chippy,12,Sorcery,"Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player.","WTH,10E,DD2,HOP,DDG,M15,DD3_JVC,W16",,normal,413378,,,Uncommon,,Sorcery
Shivan Dragon,{4}{R}{R},6,R,Donato Giancola,13,Creature — Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,BTD,7ED,pREL,8ED,9ED,10E,DRB,M10,DPA,ME4,M14,M15,ORI,W16",The undisputed master of the mountains of Shiv.,normal,413379,5,5,Rare,Dragon,Creature
Incremental Growth,{3}{G}{G},5,G,Chuck Lukacs,14,Sorcery,"Put a +1/+1 counter on target creature, two +1/+1 counters on another target creature, and three +1/+1 counters on a third target creature.","LRW,MMA,KTK,W16","""Tie a mouse under a bridge, and your cabbages will triple in size.""\n—Kithkin superstition",normal,413380,,,Uncommon,,Sorcery
Oakenform,{2}{G},3,G,Wayne Reynolds,15,Enchantment — Aura,Enchant creature\nEnchanted creature gets +3/+3.,"M10,W16","""When the beast cloaks itself in the mighty oak, what good is a bow? When the oak wraps itself around the snarling beast, what good is a hatchet?""\n—Dionus, elvish archdruid",normal,413381,,,Common,Aura,Enchantment
Soul of the Harvest,{4}{G}{G},6,G,Eytan Zana,16,Creature — Elemental,"Trample\nWhenever another nontoken creature enters the battlefield under your control, you may draw a card.","AVR,C14,W16",,normal,413382,6,6,Rare,Elemental,Creature
