name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angel of Salvation,{6}{W}{W},8,W,D. Alexander Gregory,1,Creature — Angel,"Flash; convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nFlying\nWhen Angel of Salvation enters the battlefield, prevent the next 5 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.","FUT,DDF",,normal,130345,5,5,Rare,Angel,Creature
Augur il-Vec,{1}{W},2,W,Daren Bader,2,Creature — Human Cleric,Shadow (This creature can block or be blocked by only creatures with shadow.)\nSacrifice Augur il-Vec: You gain 4 life. Activate this ability only during your upkeep.,FUT,"""If it would end this exile, my life is yours.""",normal,132212,1,3,Common,"Human,Cleric",Creature
Barren Glory,{4}{W}{W},6,W,Dave Kendall,3,Enchantment,"At the beginning of your upkeep, if you control no permanents other than Barren Glory and have no cards in hand, you win the game.",FUT,"""The only perfect world is an empty world, with no one to sin or wage war.""\n—Tarran, magus of the disk",normal,136048,,,Rare,,Enchantment
Chronomantic Escape,{4}{W}{W},6,W,Franz Vohwinkel,4,Sorcery,"Until your next turn, creatures can't attack you. Exile Chronomantic Escape with three time counters on it.\nSuspend 3—{2}{W} (Rather than cast this card from your hand, you may pay {2}{W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)",FUT,,normal,126204,,,Uncommon,,Sorcery
Dust of Moments,{2}{W},3,W,Zoltan Boros & Gabor Szikszai,5,Instant,Choose one —\n• Remove two time counters from each permanent and each suspended card.\n• Put two time counters on each permanent with a time counter on it and each suspended card.,FUT,,normal,136207,,,Uncommon,,Instant
Even the Odds,{2}{W},3,W,Shishizaru,6,Instant,Cast Even the Odds only if you control fewer creatures than each opponent.\nPut three 1/1 white Soldier creature tokens onto the battlefield.,FUT,"""They who fall singing the battle hymn of Benalia go not unavenged.""\n—Adom Capashen, Benalish commander",normal,136192,,,Uncommon,,Instant
Gift of Granite,{W},1,W,Hideaki Takamura,7,Enchantment — Aura,Flash (You may cast this spell any time you could cast an instant.)\nEnchant creature\nEnchanted creature gets +0/+2.,FUT,The blessing adds both protection to the recipient and weightlessness to the stone.,normal,136200,,,Common,Aura,Enchantment
Intervention Pact,{0},,W,Dave Kendall,8,Instant,"The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.\nAt the beginning of your next upkeep, pay {1}{W}{W}. If you don't, you lose the game.",FUT,,normal,130680,,,Rare,,Instant
Judge Unworthy,{1}{W},2,W,Greg Staples,9,Instant,"Choose target attacking or blocking creature. Scry 3, then reveal the top card of your library. Judge Unworthy deals damage equal to that card's converted mana cost to that creature. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",FUT,,normal,126164,,,Common,,Instant
Knight of Sursi,{3}{W},4,W,Cyril Van Der Haegen,10,Creature — Human Knight,"Flying; flanking  (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)\nSuspend 3—{W} (Rather than cast this card from your hand, you may pay {W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)",FUT,,normal,130698,2,2,Common,"Human,Knight",Creature
Lost Auramancers,{2}{W}{W},4,W,Brandon Kitkouski,11,Creature — Human Wizard,"Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)\nWhen Lost Auramancers dies, if it had no time counters on it, you may search your library for an enchantment card and put it onto the battlefield. If you do, shuffle your library.",FUT,,normal,126146,3,3,Uncommon,"Human,Wizard",Creature
Magus of the Moat,{2}{W}{W},4,W,John Avon,12,Creature — Human Wizard,Creatures without flying can't attack.,FUT,"""The spirits of the mythic ones ever circle their beloved keep, forbidding entry to all who come with the heavy tread of hate.""",normal,136148,0,3,Rare,"Human,Wizard",Creature
Marshaling Cry,{1}{W}{W},3,W,Vance Kovacs,13,Sorcery,"Creatures you control get +1/+1 and gain vigilance until end of turn.\nCycling {2} ({2}, Discard this card: Draw a card.)\nFlashback {3}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",FUT,,normal,130689,,,Common,,Sorcery
Saltskitter,{3}{W},4,W,Chippy,14,Creature — Wurm,"Whenever another creature enters the battlefield, exile Saltskitter. Return Saltskitter to the battlefield under its owner's control at the beginning of the next end step.",FUT,,normal,130320,3,4,Common,Wurm,Creature
Samite Censer-Bearer,{W},1,W,William Simpson,15,Creature — Human Rebel Cleric,"{W}, Sacrifice Samite Censer-Bearer: Prevent the next 1 damage that would be dealt to each creature you control this turn.",FUT,Samite alchemists extracted aromatic traces of healing minerals from the residue of the receding salt dunes.,normal,130327,1,1,Common,"Human,Rebel,Cleric",Creature
Scout's Warning,{W},1,W,Zoltan Boros & Gabor Szikszai,16,Instant,The next creature card you play this turn can be played as though it had flash.\nDraw a card.,FUT,"""There is no tactic I enjoy more than ambushing the ambushers.""",normal,126200,,,Rare,,Instant
Spirit en-Dal,{2}{W},3,W,Daren Bader,17,Creature — Spirit,"Shadow (This creature can block or be blocked by only creatures with shadow.)\nForecast — {1}{W}, Reveal Spirit en-Dal from your hand: Target creature gains shadow until end of turn. (Activate this ability only during your upkeep and only once each turn.)",FUT,,normal,132221,2,1,Uncommon,Spirit,Creature
Aven Mindcensor,{2}{W},3,W,Rebecca Guay,18,Creature — Bird Wizard,"Flash (You may cast this spell any time you could cast an instant.)\nFlying\nIf an opponent would search a library, that player searches the top four cards of that library instead.",FUT,,normal,136204,2,1,Uncommon,"Bird,Wizard",Creature
Blade of the Sixth Pride,{1}{W},2,W,Justin Sweet,19,Creature — Cat Rebel,,FUT,,normal,130676,3,1,Common,"Cat,Rebel",Creature
Bound in Silence,{2}{W},3,W,William Simpson,20,Tribal Enchantment — Rebel Aura,Enchant creature\nEnchanted creature can't attack or block.,"FUT,MMA",A fight put off forever is already won.,normal,130334,,,Uncommon,"Rebel,Aura","Tribal,Enchantment"
Daybreak Coronet,{W}{W},2,W,Scott Hampton,21,Enchantment — Aura,"Enchant creature with another Aura attached to it\nEnchanted creature gets +3/+3 and has first strike, vigilance, and lifelink. (Damage dealt by the creature also causes its controller to gain that much life.)","FUT,MM2",,normal,130635,,,Rare,Aura,Enchantment
Goldmeadow Lookout,{3}{W},4,W,Steve Prescott,22,Creature — Kithkin Spellshaper,"{W}, {T}, Discard a card: Put a 1/1 white Kithkin Soldier creature token named Goldmeadow Harrier onto the battlefield. It has ""{W}, {T}: Tap target creature.""",FUT,,normal,130311,2,2,Uncommon,"Kithkin,Spellshaper",Creature
Imperial Mask,{4}{W},5,W,Christopher Moeller,23,Enchantment,"When Imperial Mask enters the battlefield, if it's not a token, each of your teammates puts a token that's a copy of Imperial Mask onto the battlefield.\nYou have hexproof. (You can't be the target of spells or abilities your opponents control.)",FUT,,normal,136201,,,Rare,,Enchantment
Lucent Liminid,{3}{W}{W},5,W,Eric Fortune,24,Enchantment Creature — Elemental,Flying,FUT,"It is a herald of the sun goddess, projected from the hallowed glass whenever her light passes through.",normal,130691,3,3,Common,Elemental,"Enchantment,Creature"
