name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ajani Goldmane,{2}{W}{W},4,W,Aleksi Briclot,1,Planeswalker — Ajani,"+1: You gain 2 life.\n−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.\n−6: Put a white Avatar creature token onto the battlefield. It has ""This creature's power and toughness are each equal to your life total.""","pPRO,LRW,M10,M11",,normal,191239,,,Mythic Rare,Ajani,Planeswalker
Angel's Mercy,{2}{W}{W},4,W,Andrew Robinson,2,Instant,You gain 7 life.,"M10,M12,AVR,M13","""Until that day I cursed the angels, those uncaring lights in the sky. They rewarded my scorn with the gift of time, every year of which I've spent in devotion to their names.""\n—Torian Sha, soul warden",normal,190549,,,Common,,Instant
Armored Ascension,{3}{W},4,W,Jesper Ejsing,3,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1 for each Plains you control and has flying.,"SHM,M10,M11","""The meadow sprang up beneath me, and I perceived a path from our people's defeat to our highest glory.""",normal,193738,,,Uncommon,Aura,Enchantment
Baneslayer Angel,{3}{W}{W},5,W,Greg Staples,4,Creature — Angel,"Flying, first strike, lifelink, protection from Demons and from Dragons","M10,M11,V15",Some angels protect the meek and innocent. Others seek out and smite evil wherever it lurks.,normal,191065,5,5,Mythic Rare,Angel,Creature
Blinding Mage,{1}{W},2,W,Eric Deschamps,5,Creature — Human Wizard,"{W}, {T}: Tap target creature.","M10,M11","""I carry the light of truth. Do not pity those it blinds, for they never had eyes to see.""",normal,190195,1,2,Common,"Human,Wizard",Creature
Captain of the Watch,{4}{W}{W},6,W,Greg Staples,6,Creature — Human Soldier,"Vigilance (Attacking doesn't cause this creature to tap.)\nOther Soldier creatures you control get +1/+1 and have vigilance.\nWhen Captain of the Watch enters the battlefield, put three 1/1 white Soldier creature tokens onto the battlefield.","M10,M13,DDO",,normal,191070,3,3,Rare,"Human,Soldier",Creature
Celestial Purge,{1}{W},2,W,David Palumbo,7,Instant,Exile target black or red permanent.,"pMPR,CON,M10,M11,M12,MM2","""We see clearly the error of your ways. It does not matter that you choose not to.""\n—Urien of the Lightwielders",normal,191595,,,Uncommon,,Instant
Divine Verdict,{3}{W},4,W,Kev Walker,8,Instant,Destroy target attacking or blocking creature.,"M10,M13,THS,M15,ORI",Giants and pit spawn attempted to topple the cathedral's pillars. The fine grit of their remains still swirls in the breeze outside.,normal,189912,,,Common,,Instant
Elite Vanguard,{W},1,W,Mark Tedin,9,Creature — Human Soldier,,"M10,M11,DDF,M12,EMA",The vanguard is skilled at waging war alone. The enemy is often defeated before its reinforcements reach the front.,normal,189902,2,1,Uncommon,"Human,Soldier",Creature
Excommunicate,{2}{W},3,W,Matt Stewart,10,Sorcery,Put target creature on top of its owner's library.,"ALA,M10,M11","""Our law prohibits capital punishment. We believe even the gravest offenders have the chance to redeem themselves.""\n—Torian Sha, soul warden",normal,190173,,,Common,,Sorcery
Glorious Charge,{1}{W},2,W,Izzy,11,Instant,Creatures you control get +1/+1 until end of turn.,"M10,M13","""One's blade is only as sharp as one's conviction.""\n—Ajani Goldmane",normal,190196,,,Common,,Instant
Griffin Sentinel,{2}{W},3,W,Warren Mahy,12,Creature — Griffin,Flying\nVigilance (Attacking doesn't cause this creature to tap.),"M10,M12,M14","Once a griffin sentinel adopts a territory as its own, only death can force it to betray its post.",normal,190170,1,3,Common,Griffin,Creature
Guardian Seraph,{2}{W}{W},4,W,Paul Bonner,13,Creature — Angel,"Flying\nIf a source an opponent controls would deal damage to you, prevent 1 of that damage.",M10,Her gaze prevents the petty sins and her sword punishes the rest.,normal,193766,3,4,Rare,Angel,Creature
Harm's Way,{W},1,W,Dan Scott,14,Instant,The next 2 damage that a source of your choice would deal to you and/or permanents you control this turn is dealt to target creature or player instead.,"M10,DDG","Even when fate is already written, there's always time to change the names.",normal,190166,,,Uncommon,,Instant
Holy Strength,{W},1,W,Terese Nielsen,15,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+2.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,7ED,8ED,9ED,10E,M10,M11","""Born under the sun, the first child will seek the foundation of honor and be fortified by its righteousness.""\n—Codex of the Constellari",normal,190538,,,Common,Aura,Enchantment
Honor of the Pure,{1}{W},2,W,Greg Staples,16,Enchantment,White creatures you control get +1/+1.,"pMEI,M10,M11,M12,MD1","Together the soldiers were like a golden blade, cutting down their enemies and scarring the darkness.",normal,191058,,,Rare,,Enchantment
Indestructibility,{3}{W},4,W,Darrell Riche,17,Enchantment — Aura,"Enchant permanent\nEnchanted permanent has indestructible. (Effects that say ""destroy"" don't destroy that permanent. A creature with indestructible can't be destroyed by damage.)","M10,M14",,normal,190568,,,Rare,Aura,Enchantment
Lifelink,{W},1,W,Terese Nielsen,18,Enchantment — Aura,Enchant creature\nEnchanted creature has lifelink. (Damage dealt by the creature also causes its controller to gain that much life.),"M10,M12",The spoils of war are not measured only in gold and silver.,normal,190180,,,Common,Aura,Enchantment
Lightwielder Paladin,{3}{W}{W},5,W,D. Alexander Gregory,19,Creature — Human Knight,"First strike (This creature deals combat damage before creatures without first strike.)\nWhenever Lightwielder Paladin deals combat damage to a player, you may exile target black or red permanent that player controls.",M10,,normal,193763,4,4,Rare,"Human,Knight",Creature
Mesa Enchantress,{1}{W}{W},3,W,Randy Gallegos,20,Creature — Human Druid,"Whenever you cast an enchantment spell, you may draw a card.","PLC,M10,M12,C15,EMA",She shepherds mysteries and dust as others would a flock of sheep.,normal,191378,0,2,Rare,"Human,Druid",Creature
Open the Vaults,{4}{W}{W},6,W,Brian Despain,21,Sorcery,Return all artifact and enchantment cards from all graveyards to the battlefield under their owners' control. (Auras with nothing to enchant remain in graveyards.),"M10,C15","When the vaults are empty, everyone is rich.",normal,193877,,,Rare,,Sorcery
Pacifism,{1}{W},2,W,Robert Bliss,22,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block.,"MIR,TMP,USG,ATH,6ED,BRB,7ED,ONS,8ED,9ED,10E,DDC,M10,M11,M12,M13,M14,DD3_DVD,DTK,TPR,EMA","For the first time in his life, Grakk felt a little warm and fuzzy inside.",normal,190574,,,Common,Aura,Enchantment
Palace Guard,{2}{W},3,W,Volkan Baga,23,Creature — Human Soldier,Palace Guard can block any number of creatures.,"M10,M11","""I'm not nearly as bothered by being outnumbered as I am by their foul stench.""",normal,190534,1,4,Common,"Human,Soldier",Creature
Planar Cleansing,{3}{W}{W}{W},6,W,Michael Komarck,24,Sorcery,Destroy all nonland permanents.,"M10,M13,M14",,normal,191599,,,Rare,,Sorcery
Razorfoot Griffin,{3}{W},4,W,Ben Thompson,25,Creature — Griffin,Flying (This creature can't be blocked except by creatures with flying or reach.)\nFirst strike (This creature deals combat damage before creatures without first strike.),"INV,7ED,8ED,M10,M15","Like a meteor, it strikes from above without warning. Unlike a meteor, it then carries you off and eats you.",normal,189891,2,2,Common,Griffin,Creature
Rhox Pikemaster,{2}{W}{W},4,W,Steve Prescott,26,Creature — Rhino Soldier,First strike (This creature deals combat damage before creatures without first strike.)\nOther Soldier creatures you control have first strike.,M10,"When the rhoxes charge, everyone else knows which way to run.",normal,190576,3,3,Uncommon,"Rhino,Soldier",Creature
Righteousness,{W},1,W,Wayne England,27,Instant,Target blocking creature gets +7/+7 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,9ED,10E,M10,DDL",Sometimes the greatest strength is the strength of conviction.,normal,191341,,,Uncommon,,Instant
Safe Passage,{2}{W},3,W,Christopher Moeller,28,Instant,Prevent all damage that would be dealt to you and creatures you control this turn.,"M10,M11,DDI,M13","With one flap of her wings, the angel beat back the fires of war.",normal,190176,,,Common,,Instant
Serra Angel,{3}{W}{W},5,W,Greg Staples,29,Creature — Angel,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pWOS,7ED,8ED,9ED,10E,DDC,M10,M11,ME4,CMD,M12,M13,M14,M15,DD3_DVD,ORI,V15,W16,EMA",Her sword sings more beautifully than any choir.,normal,193767,4,4,Uncommon,Angel,Creature
