name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angel of Retribution,{6}{W},7,W,rk post,1,Creature — Angel,"Flying, first strike",TOR,Bitter vengeance never glowed so bright nor sang so sweet.,normal,32233,5,5,Rare,Angel,Creature
Aven Trooper,{3}{W},4,W,Greg Staples,2,Creature — Bird Soldier,"Flying\n{2}{W}, Discard a card: Aven Trooper gets +1/+2 until end of turn.",TOR,The very skies seethe with the aven's hatred for the Cabal.,normal,5584,1,1,Common,"Bird,Soldier",Creature
Cleansing Meditation,{1}{W}{W},3,W,Ron Spears,3,Sorcery,"Destroy all enchantments.\nThreshold — If seven or more cards are in your graveyard, instead destroy all enchantments, then return all cards in your graveyard destroyed this way to the battlefield.",TOR,,normal,29883,,,Uncommon,,Sorcery
Equal Treatment,{1}{W},2,W,Greg & Tim Hildebrandt,4,Instant,"If any source would deal 1 or more damage to a creature or player this turn, it deals 2 damage to that creature or player instead.\nDraw a card.",TOR,,normal,29571,,,Uncommon,,Instant
Floating Shield,{2}{W},3,W,Keith Garletts,5,Enchantment — Aura,"Enchant creature\nAs Floating Shield enters the battlefield, choose a color.\nEnchanted creature has protection from the chosen color. This effect doesn't remove Floating Shield.\nSacrifice Floating Shield: Target creature gains protection from the chosen color until end of turn.",TOR,,normal,32396,,,Common,Aura,Enchantment
Frantic Purification,{2}{W},3,W,Mark Brill,6,Instant,"Destroy target enchantment.\nMadness {W} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",TOR,"By definition, madness ends in one of two ways: clarity . . . or death.",normal,29841,,,Common,,Instant
Hypochondria,{1}{W},2,W,Christopher Moeller,7,Enchantment,"{W}, Discard a card: Prevent the next 3 damage that would be dealt to target creature or player this turn.\n{W}, Sacrifice Hypochondria: Prevent the next 3 damage that would be dealt to target creature or player this turn.",TOR,,normal,29705,,,Uncommon,,Enchantment
Major Teroh,{3}{W},4,W,Daren Bader,8,Legendary Creature — Bird Soldier,"Flying\n{3}{W}{W}, Sacrifice Major Teroh: Exile all black creatures.",TOR,"""I am the holy wind that shall avenge the Cabal's victims.""",normal,29912,2,3,Rare,"Bird,Soldier",Creature
Militant Monk,{1}{W}{W},3,W,Mark Brill,9,Creature — Human Monk Cleric,Vigilance\n{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,TOR,,normal,12363,2,1,Common,"Human,Monk,Cleric",Creature
Morningtide,{1}{W},2,W,Tony Szczudlo,10,Sorcery,Exile all cards from all graveyards.,TOR,"""The spirits of the righteous shall rise into the sky. Even dirtwalkers will fly like aven.""\n—Major Teroh",normal,34234,,,Rare,,Sorcery
Mystic Familiar,{1}{W},2,W,"Edward P. Beard, Jr.",11,Creature — Bird,"Flying\nThreshold — As long as seven or more cards are in your graveyard, Mystic Familiar gets +1/+1 and has protection from black.",TOR,"They soar, and the mystics follow.",normal,30607,1,2,Common,Bird,Creature
Pay No Heed,{W},1,W,Adam Rex,12,Instant,Prevent all damage a source of your choice would deal this turn.,"TOR,M14,DDL","""Inhale life. Exhale pain.""\n—Mystic elder",normal,32232,,,Common,,Instant
Possessed Nomad,{2}{W}{W},4,"W,B",Eric Peterson,13,Creature — Human Nomad Horror,"Vigilance\nThreshold — As long as seven or more cards are in your graveyard, Possessed Nomad gets +1/+1, is black, and has ""{2}{B}, {T}: Destroy target white creature.""",TOR,,normal,29816,3,3,Rare,"Human,Nomad,Horror",Creature
Reborn Hero,{2}{W},3,W,Gary Ruddell,14,Creature — Human Soldier,"Vigilance\nThreshold — As long as seven or more cards are in your graveyard, Reborn Hero has ""When Reborn Hero dies, you may pay {W}{W}. If you do, return Reborn Hero to the battlefield under your control.""",TOR,,normal,34247,2,2,Rare,"Human,Soldier",Creature
Spirit Flare,{3}{W},4,W,rk post,15,Instant,"Tap target untapped creature you control. If you do, it deals damage equal to its power to target attacking or blocking creature an opponent controls.\nFlashback—{1}{W}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",TOR,,normal,26361,,,Common,,Instant
Stern Judge,{2}{W},3,W,Matt Cavotta,16,Creature — Human Cleric,{T}: Each player loses 1 life for each Swamp he or she controls.,TOR,"""How to punish the guilty is up to the Ancestor. Deciding who merits such punishment is up to me.""",normal,35082,2,2,Uncommon,"Human,Cleric",Creature
Strength of Isolation,{1}{W},2,W,Jerry Tiritilli,17,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +1/+2 and has protection from black.\nMadness {W} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",TOR,Don't mistake isolation for safety.,normal,34782,,,Uncommon,Aura,Enchantment
Teroh's Faithful,{3}{W},4,W,Greg & Tim Hildebrandt,18,Creature — Human Cleric,"When Teroh's Faithful enters the battlefield, you gain 4 life.","TOR,VMA",The light of reason follows them even into battle.,normal,12345,1,4,Common,"Human,Cleric",Creature
Teroh's Vanguard,{3}{W},4,W,Greg & Tim Hildebrandt,19,Creature — Human Nomad,"Flash\nThreshold — As long as seven or more cards are in your graveyard, Teroh's Vanguard has ""When Teroh's Vanguard enters the battlefield, creatures you control gain protection from black until end of turn.""",TOR,,normal,32205,2,3,Uncommon,"Human,Nomad",Creature
Transcendence,{3}{W}{W}{W},6,W,Rebecca Guay,20,Enchantment,"You don't lose the game for having 0 or less life.\nWhen you have 20 or more life, you lose the game.\nWhenever you lose life, you gain 2 life for each 1 life you lost. (Damage dealt to you causes you to lose life.)",TOR,,normal,8875,,,Rare,,Enchantment
Vengeful Dreams,{W}{W},2,W,Mark Tedin,21,Instant,"As an additional cost to cast Vengeful Dreams, discard X cards.\nExile X target attacking creatures.",TOR,Teroh dreams of his enemies' doom.,normal,29698,,,Rare,,Instant
Alter Reality,{1}{U},2,U,Justin Sweet,22,Instant,Change the text of target spell or permanent by replacing all instances of one color word with another. (This effect lasts indefinitely.)\nFlashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.),TOR,,normal,34832,,,Rare,,Instant
Ambassador Laquatus,{1}{U}{U},3,U,Eric Peterson,23,Legendary Creature — Merfolk Wizard,{3}: Target player puts the top three cards of his or her library into his or her graveyard.,"TOR,10E","""He smiles with poisoned lips.""\n—Empress Llawan",normal,34378,1,3,Rare,"Merfolk,Wizard",Creature
Aquamoeba,{1}{U},2,U,Arnie Swekel,24,Creature — Elemental Beast,Discard a card: Switch Aquamoeba's power and toughness until end of turn.,"TOR,VMA",Some tides need no moon.,normal,34465,1,3,Common,"Elemental,Beast",Creature
Balshan Collaborator,{3}{U},4,"U,B",DiTerlizzi,25,Creature — Bird Soldier,Flying\n{B}: Balshan Collaborator gets +1/+1 until end of turn.,TOR,"""Power, gold, crackers—every bird has its price.""\n—Chainer, dementia master",normal,32915,2,2,Uncommon,"Bird,Soldier",Creature
Breakthrough,{X}{U},1,U,Gary Ruddell,26,Sorcery,"Draw four cards, then choose X cards in your hand and discard the rest.","TOR,CNS",The ideas came flooding in so fast that they couldn't all be contained.,normal,29927,,,Uncommon,,Sorcery
