name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abuna Acolyte,{1}{W},2,W,Igor Kieryluk,1,Creature — Cat Cleric,{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.\n{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.,SOM,"""You can break nothing I cannot mend.""",normal,194371,1,1,Uncommon,"Cat,Cleric",Creature
Arrest,{2}{W},3,W,Daarken,2,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated.","pMEI,MMQ,MRD,SOM,RTR,MM2","Bladehold houses a rogues' gallery filled with the living ""statues"" of the worst enemies of the Auriok.",normal,209007,,,Common,Aura,Enchantment
Auriok Edgewright,{W}{W},2,W,Mike Bierek,3,Creature — Human Soldier,Metalcraft — Auriok Edgewright has double strike as long as you control three or more artifacts.,SOM,"Auriok soldiers craft their own weapons, forging a connection to the steel with each blow of the hammer.",normal,208260,2,2,Uncommon,"Human,Soldier",Creature
Auriok Sunchaser,{1}{W},2,W,James Ryman,4,Creature — Human Soldier,"Metalcraft — As long as you control three or more artifacts, Auriok Sunchaser gets +2/+2 and has flying.",SOM,"""Grant me loft. Grant me light. Grant me the accuracy I need to kill all who threaten Bladehold.""\n—Prayer to the Whitesun",normal,208249,1,1,Common,"Human,Soldier",Creature
Dispense Justice,{2}{W},3,W,Austin Hsu,5,Instant,Target player sacrifices an attacking creature.\nMetalcraft — That player sacrifices two attacking creatures instead if you control three or more artifacts.,SOM,"The Accorders never strike first, but they always strike back.",normal,209015,,,Uncommon,,Instant
Elspeth Tirel,{3}{W}{W},5,W,Michael Komarck,6,Planeswalker — Elspeth,+2: You gain 1 life for each creature you control.\n−2: Put three 1/1 white Soldier creature tokens onto the battlefield.\n−5: Destroy all other permanents except for lands and tokens.,SOM,,normal,212241,,,Mythic Rare,Elspeth,Planeswalker
Fulgent Distraction,{2}{W},3,W,Nic Klein,7,Instant,"Choose two target creatures. Tap those creatures, then unattach all Equipment from them.",SOM,"""Channeling the white-hot power of all five suns creates a pretty good diversion.""\n—Yavash of the Accorders",normal,205488,,,Common,,Instant
Ghalma's Warden,{3}{W},4,W,Mike Bierek,8,Creature — Elephant Soldier,Metalcraft — Ghalma's Warden gets +2/+2 as long as you control three or more artifacts.,SOM,A special unit guards the loxodon artificer known as Ghalma the Shaper. They are armed and armored in her finest works of silver and steel.,normal,194124,2,4,Common,"Elephant,Soldier",Creature
Glimmerpoint Stag,{2}{W}{W},4,W,Ryan Pancoast,9,Creature — Elk,"Vigilance\nWhen Glimmerpoint Stag enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.","SOM,CNS,EMA",,normal,194046,3,3,Uncommon,Elk,Creature
Glint Hawk,{W},1,W,Dave Allsop,10,Creature — Bird,"Flying\nWhen Glint Hawk enters the battlefield, sacrifice it unless you return an artifact you control to its owner's hand.",SOM,"Its eyes burned nearly blind by the Whitesun, it hunts by metallic gleam.",normal,206358,2,2,Common,Bird,Creature
Indomitable Archangel,{2}{W}{W},4,W,Allen Williams,11,Creature — Angel,Flying\nMetalcraft — Artifacts you control have shroud as long as you control three or more artifacts. (An artifact with shroud can't be the target of spells or abilities.),"SOM,MM2","""Every sword drawn to defend is an angelic blade, guided to justice by an angelic hand.""\n—Auriok proverb",normal,212248,4,4,Mythic Rare,Angel,Creature
"Kemba, Kha Regent",{1}{W}{W},3,W,Todd Lockwood,12,Legendary Creature — Cat Cleric,"At the beginning of your upkeep, put a 2/2 white Cat creature token onto the battlefield for each Equipment attached to Kemba, Kha Regent.","SOM,C14","""I am not Raksha. I never will be. But I refuse to be the kha who watched her pride be torn asunder.""",normal,215091,2,4,Rare,"Cat,Cleric",Creature
Kemba's Skyguard,{1}{W}{W},3,W,Whit Brachna,13,Creature — Cat Knight,"Flying\nWhen Kemba's Skyguard enters the battlefield, you gain 2 life.","DDF,SOM","""We're now to dispense aid to any Mirran we see battling anything . . . ‘strange.' Regent's orders.""\n—Ranya, skyhunter captain",normal,194083,2,2,Common,"Cat,Knight",Creature
