name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Spiritmonger,{3}{B}{G},5,"B,G",Kev Walker,1,Creature — Beast,"Whenever Spiritmonger deals damage to a creature, put a +1/+1 counter on Spiritmonger.\n{B}: Regenerate Spiritmonger.\n{G}: Spiritmonger becomes the color of your choice until end of turn.","APC,pGPX,CNS,VMA",,normal,,6,6,Special,Beast,Creature
Call of the Herd,{2}{G},3,G,Lars Grant-West,2,Sorcery,Put a 3/3 green Elephant creature token onto the battlefield.\nFlashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),"ODY,TSB,pGPX",,normal,,,,Special,,Sorcery
Chrome Mox,{0},,,Alan Pollack,3,Artifact,"Imprint — When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.\n{T}: Add one mana of any of the exiled card's colors to your mana pool.","MRD,pGPX,EMA",,normal,,,,Special,,Artifact
Umezawa's Jitte,{2},2,,Svetlin Velinov,4,Legendary Artifact — Equipment,"Whenever equipped creature deals combat damage, put two charge counters on Umezawa's Jitte.\nRemove a charge counter from Umezawa's Jitte: Choose one —\n• Equipped creature gets +2/+2 until end of turn.\n• Target creature gets -1/-1 until end of turn.\n• You gain 2 life.\nEquip {2}","BOK,pGPX",,normal,,,,Special,Equipment,Artifact
Maelstrom Pulse,{1}{B}{G},3,"B,G",John Avon,5,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"pGPX,ARB,MMA","During the collision of the shards, entire ways of life disappeared without a trace.",normal,,,,Special,,Sorcery
Goblin Guide,{R},1,R,Steve Prescott,6,Creature — Goblin Scout,"Haste\nWhenever Goblin Guide attacks, defending player reveals the top card of his or her library. If it's a land card, that player puts it into his or her hand.","pGPX,ZEN","""I've been all over this world. I even remember some of those places.""",normal,,2,2,Special,"Goblin,Scout",Creature
Lotus Cobra,{1}{G},2,G,Terese Nielsen,7,Creature — Snake,"Landfall — Whenever a land enters the battlefield under your control, you may add one mana of any color to your mana pool.","pGPX,ZEN",Its scales contain the essence of thousands of lotus blooms.,normal,,2,1,Special,Snake,Creature
Primeval Titan,{4}{G}{G},6,G,Peter Mohrbacher,8,Creature — Giant,"Trample\nWhenever Primeval Titan enters the battlefield or attacks, you may search your library for up to two land cards, put them onto the battlefield tapped, then shuffle your library.","pGPX,M11,M12,MM2","When nature calls, run.",normal,,6,6,Special,Giant,Creature
All Is Dust,{7},7,,Vincent Proce,9,Tribal Sorcery — Eldrazi,Each player sacrifices all colored permanents he or she controls.,"pGPX,ROE,MM2","""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",normal,,,,Special,Eldrazi,"Tribal,Sorcery"
Batterskull,{5},5,,Igor Kieryluk,10,Artifact — Equipment,"Living weapon (When this Equipment enters the battlefield, put a 0/0 black Germ creature token onto the battlefield, then attach this to it.)\nEquipped creature gets +4/+4 and has vigilance and lifelink.\n{3}: Return Batterskull to its owner's hand.\nEquip {5}","pGPX,NPH",,normal,,,,Special,Equipment,Artifact
Griselbrand,{4}{B}{B}{B}{B},8,B,Jaime Jones,11,Legendary Creature — Demon,"Flying, lifelink\nPay 7 life: Draw seven cards.","pGPX,AVR","""Avacyn emerged from the broken Helvault, but her freedom came at a price—him.""\n—Thalia, Knight-Cathar",normal,,7,7,Special,Demon,Creature
