name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Elspeth, Knight-Errant",{2}{W}{W},4,W,Igor Kieryluk,1,Planeswalker — Elspeth,"+1: Put a 1/1 white Soldier creature token onto the battlefield.\n+1: Target creature gets +3/+3 and gains flying until end of turn.\n−8: You get an emblem with ""Artifacts, creatures, enchantments, and lands you control have indestructible.""","ALA,DDF,MMA,MD1",,normal,217825,,,Mythic Rare,Elspeth,Planeswalker
Elite Vanguard,{W},1,W,Mark Tedin,2,Creature — Human Soldier,,"M10,M11,DDF,M12,EMA",The vanguard is skilled at waging war alone. The enemy is often defeated before its reinforcements reach the front.,normal,222710,2,1,Uncommon,"Human,Soldier",Creature
Goldmeadow Harrier,{W},1,W,Steve Prescott,3,Creature — Kithkin Soldier,"{W}, {T}: Tap target creature.","LRW,DDF","""It's a proven fact that sling-stones from the dawn side of the riverbank sail the farthest and truest.""\n—Deagan, cenn of Burrenton",normal,222708,1,1,Common,"Kithkin,Soldier",Creature
Infantry Veteran,{W},1,W,Christopher Rush,4,Creature — Human Soldier,{T}: Target attacking creature gets +1/+1 until end of turn.,"VIS,ATH,6ED,BRB,9ED,M11,DDF,DDN","""Any fool can pick up a sword and charge into battle. To emerge alive at the end, that is a gift that comes from leadership and experience.""",normal,222712,1,1,Common,"Human,Soldier",Creature
Loyal Sentry,{W},1,W,Michael Sutfin,5,Creature — Human Soldier,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.","S99,10E,DDF","""My cause is simple: To stop you, at any cost, from ever seeing the inside of this keep.""",normal,222706,1,1,Rare,"Human,Soldier",Creature
Mosquito Guard,{W},1,W,Randy Gallegos,6,Creature — Kithkin Soldier,"First strike\nReinforce 1—{1}{W} ({1}{W}, Discard this card: Put a +1/+1 counter on target creature.)","MOR,DDF","His aim is as sure as a mosquito's sting, but with none of the warning.",normal,222716,1,1,Common,"Kithkin,Soldier",Creature
Glory Seeker,{1}{W},2,W,Matt Cavotta,7,Creature — Human Soldier,,"ONS,8ED,9ED,ROE,DDF","""There's no contract to sign, no oath to swear. The enlistment procedure is to unsheathe your sword and point it at the enemy.""",normal,222736,2,2,Common,"Human,Soldier",Creature
Kor Skyfisher,{1}{W},2,W,Dan Scott,8,Creature — Kor Soldier,"Flying\nWhen Kor Skyfisher enters the battlefield, return a permanent you control to its owner's hand.","pMEI,ZEN,DDF,DDO","""Sometimes I snare the unexpected, but I know its purpose will be revealed in time.""",normal,222764,2,3,Common,"Kor,Soldier",Creature
Temple Acolyte,{1}{W},2,W,Lubov,9,Creature — Human Cleric,"When Temple Acolyte enters the battlefield, you gain 3 life.","PO2,DDF,ME4","Young, yes. Inexperienced, yes. Weak? Don't count on it.",normal,222760,1,3,Common,"Human,Cleric",Creature
Kor Aeronaut,{W}{W},2,W,Karl Kopinski,10,Creature — Kor Soldier,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)\nFlying\nWhen Kor Aeronaut enters the battlefield, if it was kicked, target creature gains flying until end of turn.","ZEN,DDF",,normal,226714,2,2,Uncommon,"Kor,Soldier",Creature
Burrenton Bombardier,{2}{W},3,W,Ron Spencer,11,Creature — Kithkin Soldier,"Flying\nReinforce 2—{2}{W} ({2}{W}, Discard this card: Put two +1/+1 counters on target creature.)","MOR,DDF","The flasks provide ballast, a means of steering, and—with a little luck—a way to deliver ward-spells to cohorts below.",normal,222770,2,2,Common,"Kithkin,Soldier",Creature
Kor Hookmaster,{2}{W},3,W,Wayne Reynolds,12,Creature — Kor Soldier,"When Kor Hookmaster enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.","ZEN,DDF,DDN,EMA","""For us, a rope represents the ties that bind the kor. For you, it's more literal.""",normal,222763,2,2,Common,"Kor,Soldier",Creature
Kemba's Skyguard,{1}{W}{W},3,W,Whit Brachna,13,Creature — Cat Knight,"Flying\nWhen Kemba's Skyguard enters the battlefield, you gain 2 life.","DDF,SOM","""We're now to dispense aid to any Mirran we see battling anything . . . ‘strange.' Regent's orders.""\n—Ranya, skyhunter captain",normal,227150,2,2,Common,"Cat,Knight",Creature
Celestial Crusader,{2}{W}{W},4,W,Jim Murray,14,Creature — Spirit,"Flash (You may cast this spell any time you could cast an instant.)\nSplit second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nFlying\nOther white creatures get +1/+1.","TSP,DDF,C14",,normal,222748,2,2,Uncommon,Spirit,Creature
Seasoned Marshal,{2}{W}{W},4,W,Matthew D. Wilson,15,Creature — Human Soldier,"Whenever Seasoned Marshal attacks, you may tap target creature.","POR,USG,BRB,7ED,8ED,9ED,DDF","There are only two rules of tactics: never be without a plan, and never rely on it.",normal,222771,2,2,Uncommon,"Human,Soldier",Creature
