name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aura Blast,{1}{W},2,W,Ron Walotsky,1,Instant,Destroy target enchantment.\nDraw a card.,PLS,"""None of your history books mention me?"" laughed Daria. ""They will now.""",normal,26382,,,Common,,Instant
Aurora Griffin,{3}{W},4,W,Ciruelo,2,Creature — Griffin,Flying\n{W}: Target permanent becomes white until end of turn.,PLS,"Though a fierce fighter, its true value is that it inspires beleaguered forces.",normal,26284,2,2,Common,Griffin,Creature
Disciple of Kangee,{2}{W},3,"W,U",Wayne England,3,Creature — Human Wizard,"{U}, {T}: Target creature gains flying and becomes blue until end of turn.",PLS,"When no birds are available, Kangee's disciples fill the sky with anything that‘s willing to fight.",normal,26285,2,2,Common,"Human,Wizard",Creature
Dominaria's Judgment,{2}{W},3,W,John Avon,4,Instant,"Until end of turn, creatures you control gain protection from white if you control a Plains, from blue if you control an Island, from black if you control a Swamp, from red if you control a Mountain, and from green if you control a Forest.",PLS,,normal,26423,,,Rare,,Instant
Guard Dogs,{3}{W},4,W,Mike Raabe,5,Creature — Hound,"{2}{W}, {T}: Choose a permanent you control. Prevent all combat damage target creature would deal this turn if it shares a color with that permanent.",PLS,"""A good guard is alert. A great guard is also loyal.""\n—Benalish kennelmaster",normal,19141,2,2,Uncommon,Hound,Creature
Heroic Defiance,{1}{W},2,W,Terese Nielsen,6,Enchantment — Aura,Enchant creature\nEnchanted creature gets +3/+3 unless it shares a color with the most common color among all permanents or a color tied for most common.,PLS,"""Wear courage as your armor. Wield honor as your blade.""\n—Gerrard",normal,26420,,,Common,Aura,Enchantment
Hobble,{2}{W},3,W,Alan Pollack,7,Enchantment — Aura,"Enchant creature\nWhen Hobble enters the battlefield, draw a card.\nEnchanted creature can't attack.\nEnchanted creature can't block if it's black.",PLS,,normal,26292,,,Common,Aura,Enchantment
Honorable Scout,{W},1,W,Mike Ploog,8,Creature — Human Soldier Scout,"When Honorable Scout enters the battlefield, you gain 2 life for each black and/or red creature target opponent controls.",PLS,"""I've faced your kind before. This time I'm ready for you.""",normal,26263,1,1,Common,"Human,Soldier,Scout",Creature
Lashknife Barrier,{2}{W},3,W,Paolo Parente,9,Enchantment,"When Lashknife Barrier enters the battlefield, draw a card.\nIf a source would deal damage to a creature you control, it deals that much damage minus 1 to that creature instead.",PLS,,normal,26833,,,Uncommon,,Enchantment
March of Souls,{4}{W},5,W,Marc Fishman,10,Sorcery,"Destroy all creatures. They can't be regenerated. For each creature destroyed this way, its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.",PLS,,normal,26277,,,Rare,,Sorcery
