name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abyssal Hunter,{3}{B},4,B,Steve Luke,,Creature — Human Assassin,"{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.","MIR,6ED",Some smiles show cheer; some merely show teeth.,normal,3272,1,1,Rare,"Human,Assassin",Creature
Acidic Dagger,{4},4,,Stuart Beel,,Artifact,"{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.",MIR,,normal,3239,,,Rare,,Artifact
Afiya Grove,{1}{G},2,G,Stuart Griffin,,Enchantment,"Afiya Grove enters the battlefield with three +1/+1 counters on it.\nAt the beginning of your upkeep, move a +1/+1 counter from Afiya Grove onto target creature.\nWhen Afiya Grove has no +1/+1 counters on it, sacrifice it.",MIR,,normal,3374,,,Rare,,Enchantment
Afterlife,{2}{W},3,W,Pete Venters,,Instant,Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.,"MIR,MMQ,CMD,VMA,C14","Facets of life, reflections of the soul.",normal,3476,,,Uncommon,,Instant
Agility,{1}{R},2,R,Drew Tucker,,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +1/+1 and has flanking. (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)",MIR,,normal,3425,,,Common,Aura,Enchantment
Alarum,{1}{W},2,W,Andrew Robinson,,Instant,Untap target nonattacking creature. It gets +1/+3 until end of turn.,MIR,"""One timely cry of warning can save nine of surprise.""\n—Sidar Jabari",normal,3477,,,Common,,Instant
Aleatory,{1}{R},2,R,Kev Walker,,Instant,"Cast Aleatory only during combat after blockers are declared.\nFlip a coin. If you win the flip, target creature gets +1/+1 until end of turn.\nDraw a card at the beginning of the next turn's upkeep.",MIR,,normal,3426,,,Uncommon,,Instant
Amber Prison,{4},4,,Donato Giancola,,Artifact,"You may choose not to untap Amber Prison during your untap step.\n{4}, {T}: Tap target artifact, creature, or land. That permanent doesn't untap during its controller's untap step for as long as Amber Prison remains tapped.","MIR,6ED",,normal,3240,,,Rare,,Artifact
Amulet of Unmaking,{5},5,,Kaja Foglio,,Artifact,"{5}, {T}, Exile Amulet of Unmaking: Exile target artifact, creature, or land. Activate this ability only any time you could cast a sorcery.",MIR,"Trade to trade, not to keep.\n—Suq'Ata motto",normal,3241,,,Rare,,Artifact
Ancestral Memories,{2}{U}{U}{U},5,U,William Donohoe,,Sorcery,Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard.,"MIR,POR,6ED,7ED","""Even the ancient storytellers proclaimed Zhalfir to be dominant over all Jamuraa. Kaervek's invasion shocked us all.""\n—Hakim, Loreweaver",normal,3323,,,Rare,,Sorcery
Armor of Thorns,{1}{G},2,G,Alan Rabinowitz,,Enchantment — Aura,"You may cast Armor of Thorns as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.\nEnchant nonblack creature\nEnchanted creature gets +2/+2.","MIR,VMA",,normal,3375,,,Common,Aura,Enchantment
Armorer Guildmage,{R},1,"R,B,G",Martin McKenna,,Creature — Human Wizard,"{B}, {T}: Target creature gets +1/+0 until end of turn.\n{G}, {T}: Target creature gets +0/+1 until end of turn.",MIR,Zhalfir's destiny rings in tempered steel.\n—Armorer Guild maxim,normal,3427,1,1,Common,"Human,Wizard",Creature
Ashen Powder,{2}{B}{B},4,B,Geofrey Darrow,,Sorcery,Put target creature card from an opponent's graveyard onto the battlefield under your control.,"MIR,6ED","""What you call decay, I call ripening. You'll gain no sustenance from this harvest.""\n—Kaervek",normal,3273,,,Rare,,Sorcery
"Asmira, Holy Avenger",{2}{G}{W},4,"W,G",Rebecca Guay,,Legendary Creature — Human Cleric,"Flying\nAt the beginning of each end step, put a +1/+1 counter on Asmira, Holy Avenger for each creature put into your graveyard from the battlefield this turn.",MIR,"""Omens lie in this early harvest's fruit.""\n—Asmira, Holy Avenger",normal,3527,2,3,Rare,"Human,Cleric",Creature
Auspicious Ancestor,{3}{W},4,W,Zina Saunders,,Creature — Human Cleric,"When Auspicious Ancestor dies, you gain 3 life.\nWhenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.",MIR,,normal,3478,2,3,Rare,"Human,Cleric",Creature
Azimaet Drake,{2}{U},3,U,Gerry Grace,,Creature — Drake,Flying\n{U}: Azimaet Drake gets +1/+0 until end of turn. Activate this ability only once each turn.,MIR,"""A vizier's dish, best served drenched in honey and almonds.""\n—Suq'Ata royal recipe",normal,3324,1,3,Common,Drake,Creature
Bad River,,,,Terese Nielsen,,Land,"Bad River enters the battlefield tapped.\n{T}, Sacrifice Bad River: Search your library for an Island or Swamp card and put it onto the battlefield. Then shuffle your library.","MIR,VMA",,normal,3570,,,Uncommon,,Land
Barbed Foliage,{2}{G}{G},4,G,Mark Poole,,Enchantment,"Whenever a creature attacks you, it loses flanking until end of turn.\nWhenever a creature without flying attacks you, Barbed Foliage deals 1 damage to it.",MIR,,normal,3376,,,Uncommon,,Enchantment
Barbed-Back Wurm,{4}{B},5,B,Gary Leach,,Creature — Wurm,{B}: Target green creature blocking Barbed-Back Wurm gets -1/-1 until end of turn.,MIR,"""The Mwonvuli Jungle has given the darkness teeth for tearing the gift of life from the weak.""\n—Jolrael",normal,3274,4,3,Uncommon,Wurm,Creature
Barreling Attack,{2}{R}{R},4,R,Ian Miller,,Instant,"Target creature gains trample until end of turn. When that creature becomes blocked this turn, it gets +1/+1 until end of turn for each creature blocking it.",MIR,"""The trollish game of push-fall inspired this impressive tactic.""\n—Sidar Jabari",normal,3428,,,Rare,,Instant
Basalt Golem,{5},5,,Scott Kirschner,,Artifact Creature — Golem,"Basalt Golem can't be blocked by artifact creatures.\nWhenever Basalt Golem becomes blocked by a creature, that creature's controller sacrifices it at end of combat. If the player does, he or she puts a 0/2 colorless Wall artifact creature token with defender onto the battlefield.",MIR,,normal,3242,2,4,Uncommon,Golem,"Artifact,Creature"
Bay Falcon,{1}{U},2,U,Una Fricker,,Creature — Bird,"Flying, vigilance",MIR,"""Wear the falcon's feathers in your hair—\nbe fast as the falcon, bright as the Sun.""\n—""Rise on Wings,"" Zhalfirin song",normal,3325,1,1,Common,Bird,Creature
